backbone,dataset,N,alpha,seed,K,tau,method,phase0_kind,probe_size_actual,sigma,acc,mean_teacher,best_teacher,oracle,theta0_acc,m3_mean_gap,m3_clients_helped,m3_clients_evaluated,m3_gap,m3_student_acc_on_Di,m3_teacher_acc_on_Di,m4_mean,m4_clients_evaluated,m4_ood_acc,wall_clock_sec,phase_teacher_sec,phase_phase0_sec,phase_distill_sec,phase_aggregate_sec,phase_eval_sec,job_id,node,status,error
cnn5_cifar10,CIFAR10,16,0.05,42,300,4.0,raw_union_K100,raw_union,2816,0.0,0.3022,0.14939375,0.2665,0.7824,0.4185,-0.6493212989360976,0,16,"[-0.9002361275088547, -0.6916240237005118, -0.7413127413127413, -0.9330855018587361, -0.8871252204585538, -0.06666666666666665, -0.07783783783783782, -0.8932038834951457, -0.5573880098061066, -0.7770114942528736, -0.7629419191919192, -0.9473004391630069, -0.4600608070757325, -0.681087762669963, -0.2749999999999999, -0.7372583479789104]","[0.0947461629279811, 0.30837597629948826, 0.25353925353925355, 0.06656045317755355, 0.09876543209876543, 0.9333333333333333, 0.9156756756756756, 0.08737864077669903, 0.44038332961889903, 0.21890166028097063, 0.2370580808080808, 0.04572461896150865, 0.5399391929242675, 0.3189122373300371, 0.6428571428571429, 0.22583479789103691]","[0.9949822904368358, 1.0, 0.9948519948519948, 0.9996459550362896, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 1.0, 0.9930250581245156, 1.0, 1.0, 0.9178571428571428, 0.9630931458699473]",0.25311391369047614,16,"[0.1608, 0.275, 0.20657142857142857, 0.246, 0.338375, 0.232, 0.31383333333333335, 0.2537142857142857, 0.30816666666666664, 0.32342857142857145, 0.277, 0.4368, 0.0958, 0.3765, 0.16183333333333333, 0.044]",297.89434266090393,279.19649291038513,1.2029693126678467,14.327967882156372,0.008339166641235352,2.5635955333709717,1115754,ai08,success,
cnn5_cifar10,CIFAR10,16,0.05,42,300,4.0,raw_union_K20,raw_union,699,0.0,0.2073,0.1493375,0.2666,0.7877,0.237,-0.7564459449885186,0,16,"[-0.9811097992916175, -0.7796929706436844, -0.6297726297726298, -0.9152062311913614, -0.9858906525573192, -0.1166666666666667, -0.11351351351351346, -0.9773462783171522, -0.9899710274125251, -0.9959131545338442, -0.7143308080808081, -0.9930250581245156, -0.4695964621337756, -0.9616810877626699, -0.532142857142857, -0.9472759226713533]","[0.013872491145218418, 0.22030702935631566, 0.36507936507936506, 0.0844397238449283, 0.0, 0.8833333333333333, 0.88, 0.003236245954692557, 0.0078003120124804995, 0.0, 0.28566919191919193, 0.0, 0.5304035378662244, 0.038318912237330034, 0.38571428571428573, 0.015817223198594025]","[0.9949822904368358, 1.0, 0.9948519948519948, 0.9996459550362896, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 1.0, 0.9930250581245156, 1.0, 1.0, 0.9178571428571428, 0.9630931458699473]",0.1720157490079365,16,"[0.0854, 0.16657142857142856, 0.11557142857142857, 0.072, 0.215125, 0.12955555555555556, 0.19433333333333333, 0.16657142857142856, 0.22233333333333333, 0.29542857142857143, 0.23442857142857143, 0.3996, 0.0, 0.2743333333333333, 0.181, 0.0]",303.6996684074402,278.6003758907318,0.4668600559234619,14.321812868118286,0.008445262908935547,2.620345115661621,1115754,ai08,success,
cnn5_cifar10,CIFAR10,16,0.05,42,300,4.0,synthetic_K100,synthetic,6200,0.0,0.1057,0.14949374999999998,0.2659,0.7811,0.2601,-0.8071533938960843,0,16,"[-0.9881936245572609, -0.7516832749798007, -0.9438009438009438, -0.9962825278810409, -0.9858906525573192, -0.008333333333333304, -0.00540540540540535, -0.9741100323624595, -0.9977713394250056, -0.9959131545338442, -0.9996843434343434, -0.9829501420821493, -0.8532338308457712, -0.9725587144622991, -0.4964285714285714, -0.9622144112478032]","[0.00678866587957497, 0.2483167250201993, 0.05062205062205062, 0.0033634271552487167, 0.0, 0.9916666666666667, 0.9881081081081081, 0.006472491909385114, 0.0, 0.0, 0.0003156565656565657, 0.010074916042366313, 0.14676616915422885, 0.027441285537700866, 0.42142857142857143, 0.0008787346221441124]","[0.9949822904368358, 1.0, 0.9944229944229944, 0.9996459550362896, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 1.0, 0.9930250581245156, 1.0, 1.0, 0.9178571428571428, 0.9630931458699473]",0.06535602678571428,16,"[0.0086, 0.008571428571428572, 0.009428571428571429, 0.007166666666666667, 0.132125, 0.007333333333333333, 0.010666666666666666, 0.009142857142857144, 0.17233333333333334, 0.15071428571428572, 0.1457142857142857, 0.2028, 0.0016, 0.16866666666666666, 0.004833333333333334, 0.006]",300.9818956851959,279.3916447162628,4.250972270965576,14.208313703536987,0.00839853286743164,2.5318143367767334,1115754,ai08,success,
cnn5_cifar10,CIFAR10,16,0.05,42,300,4.0,synthetic_logit_K100,synthetic_logit,0,0.0,,0.14928125,0.2658,0.7831,,,,,[],[],[],,,[],281.350124835968,278.73876547813416,0.0,0.0,0.0,0.0,1115754,ai08,FAIL,"RuntimeError: Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [3388, 3072]"
cnn5_cifar10,CIFAR10,16,1.0,42,300,4.0,raw_union_K100,raw_union,14056,0.0,0.6577,0.478725,0.5311,0.7824,0.6896,-0.30238021616554256,0,16,"[-0.27724945135332846, -0.3386292834890966, -0.2922690131992458, -0.3217235188509874, -0.3104682373993438, -0.316403785488959, -0.3228638973319824, -0.2808022922636103, -0.35463782366437235, -0.31603615667894214, -0.2790818988002086, -0.3621914102130538, -0.2780405405405405, -0.24991087344028518, -0.2923926901827454, -0.2453825857519789]","[0.7227505486466715, 0.6613707165109034, 0.7077309868007542, 0.6782764811490126, 0.6895317626006562, 0.683596214511041, 0.6771361026680176, 0.7191977077363897, 0.6453621763356276, 0.6839638433210579, 0.7209181011997914, 0.6378085897869462, 0.7219594594594595, 0.7500891265597148, 0.7076073098172546, 0.7546174142480211]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,0,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",300.3489279747009,278.70771837234497,5.139497995376587,14.329797983169556,0.008524656295776367,1.529691219329834,1115754,ai08,success,
cnn5_cifar10,CIFAR10,16,1.0,42,300,4.0,raw_union_K20,raw_union,3127,0.0,0.5194,0.47701875,0.5269,0.7753,0.4854,-0.4764682534763753,0,16,"[-0.4714703730797366, -0.49003115264797503, -0.47925832809553737, -0.473967684021544, -0.48493886072174175, -0.5170347003154574, -0.5145221209050996, -0.4240687679083095, -0.5365453949524746, -0.47941078004686977, -0.45148669796557117, -0.4944200202908353, -0.4695945945945946, -0.4007130124777184, -0.47428814279643006, -0.4617414248021108]","[0.5285296269202634, 0.509968847352025, 0.5207416719044626, 0.526032315978456, 0.5150611392782583, 0.4829652996845426, 0.48547787909490037, 0.5759312320916905, 0.4634546050475254, 0.5205892199531302, 0.5485133020344288, 0.5055799797091647, 0.5304054054054054, 0.5992869875222816, 0.5257118572035699, 0.5382585751978892]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,0,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",296.84898233413696,279.0799050331116,1.2856111526489258,14.32438349723816,0.008365154266357422,1.5613529682159424,1115754,ai08,success,
cnn5_cifar10,CIFAR10,16,1.0,42,300,4.0,synthetic_K100,synthetic,16000,0.0,0.3905,0.47838749999999997,0.5272,0.7854,0.2493,-0.6078923661062944,0,16,"[-0.6199707388441844, -0.5523364485981308, -0.6257071024512886, -0.6333931777378815, -0.6200417536534446, -0.6501577287066246, -0.6259709557581898, -0.6090127637405575, -0.6519174041297935, -0.6568463341144961, -0.5764214919144497, -0.6293540750760906, -0.5736486486486487, -0.5522281639928699, -0.513387165320867, -0.6358839050131926]","[0.38002926115581565, 0.44766355140186914, 0.3742928975487115, 0.3666068222621185, 0.37995824634655534, 0.3498422712933754, 0.3740290442418102, 0.39098723625944254, 0.3480825958702065, 0.34315366588550383, 0.42357850808555036, 0.37064592492390935, 0.4263513513513513, 0.4477718360071301, 0.486612834679133, 0.3641160949868074]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,0,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",302.7453875541687,278.8974187374115,7.432974576950073,14.323405742645264,0.008383035659790039,1.5102663040161133,1115754,ai08,success,
cnn5_cifar10,CIFAR10,16,1.0,42,300,4.0,synthetic_logit_K100,synthetic_logit,0,0.0,,0.477275,0.5234,0.7826,,,,,[],[],[],,,[],281.2470877170563,278.89035964012146,0.0,0.0,0.0,0.0,1115754,ai08,FAIL,"RuntimeError: Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [2734, 3072]"
