match,N,alpha,dataset,C,seed,mode,n,acc_mean,acc_min,acc_max,note
dense,5,0.3,cifar10,10,44,sel_gp_rarefill,5,0.954,0.954,0.954,picked A (E_B=0.9318 E_A=0.9605; true B=0.9499 A=0.9540)
fedauxfdp,20,0.04,cifar10,10,42,current,1,0.9315,0.9315,0.9315,agg adapter + agg head
fedauxfdp,20,0.04,cifar10,10,42,local,17,0.2499,0.098,0.3905,own adapter + own head
fedauxfdp,20,0.04,cifar10,10,42,B_personal,17,0.9046,0.8695,0.9405,own adapter + agg head
fedauxfdp,20,0.04,cifar10,10,42,A_headonly,1,0.943,0.943,0.943,r=0, head only, federated
fedauxfdp,20,0.04,cifar10,10,42,sel_perclient,17,0.9046,0.8695,0.9405,per-client vote (biased), 17/17 chose B
fedauxfdp,20,0.04,cifar10,10,42,sel_federated,17,0.9046,0.8695,0.9405,federation picked B (B=0.9831 A=0.9419)
fedauxfdp,20,0.04,cifar10,10,42,sel_fed_balanced,17,0.9046,0.8695,0.9405,federation picked B (B=0.9600 A=0.9288)
fedauxfdp,20,0.04,cifar10,10,42,sel_globalprior,17,0.943,0.943,0.943,picked A (E_B=0.3929 E_A=0.9416; true B=0.9046 A=0.9430)
fedauxfdp,20,0.04,cifar10,10,42,sel_gp_rarefill,17,0.943,0.943,0.943,picked A (E_B=0.5934 E_A=0.9416; true B=0.9046 A=0.9430)
fedauxfdp,20,0.04,cifar10,10,43,current,1,0.9495,0.9495,0.9495,agg adapter + agg head
fedauxfdp,20,0.04,cifar10,10,43,local,18,0.2063,0.084,0.418,own adapter + own head
fedauxfdp,20,0.04,cifar10,10,43,B_personal,18,0.9196,0.886,0.946,own adapter + agg head
fedauxfdp,20,0.04,cifar10,10,43,A_headonly,1,0.9495,0.9495,0.9495,r=0, head only, federated
fedauxfdp,20,0.04,cifar10,10,43,sel_perclient,18,0.9196,0.886,0.946,per-client vote (biased), 18/18 chose B
fedauxfdp,20,0.04,cifar10,10,43,sel_federated,18,0.9196,0.886,0.946,federation picked B (B=0.9921 A=0.9511)
fedauxfdp,20,0.04,cifar10,10,43,sel_fed_balanced,18,0.9196,0.886,0.946,federation picked B (B=0.9429 A=0.9053)
fedauxfdp,20,0.04,cifar10,10,43,sel_globalprior,18,0.9495,0.9495,0.9495,picked A (E_B=0.3232 E_A=0.9510; true B=0.9196 A=0.9495)
fedauxfdp,20,0.04,cifar10,10,43,sel_gp_rarefill,18,0.9495,0.9495,0.9495,picked A (E_B=0.5107 E_A=0.9510; true B=0.9196 A=0.9495)
