match,N,alpha,maxtest,dataset,C,seed,mode,n,acc_mean,acc_min,acc_max,note
peers,20,0.16,10000,cifar10,10,43,sel_fed_balanced,20,0.9527,0.9527,0.9527,"federation picked A (B=0.9471 A=0.9509)"
peers,20,0.16,10000,cifar10,10,43,sel_globalprior,20,0.9527,0.9527,0.9527,"picked A (E_B=0.6165 E_A=0.9585; true B=0.9442 A=0.9527)"
peers,20,0.16,10000,cifar10,10,43,sel_gp_rarefill,20,0.9527,0.9527,0.9527,"picked A (E_B=0.8386 E_A=0.9585; true B=0.9442 A=0.9527)"
peers,20,0.16,10000,cifar10,10,44,current,1,0.9604,0.9604,0.9604,"agg adapter + agg head"
peers,20,0.16,10000,cifar10,10,44,local,20,0.4337,0.2293,0.6339,"own adapter + own head"
peers,20,0.16,10000,cifar10,10,44,B_personal,20,0.9424,0.9065,0.9588,"own adapter + agg head"
peers,20,0.16,10000,cifar10,10,44,A_headonly,1,0.9529,0.9529,0.9529,"r=0, head only, federated"
peers,20,0.16,10000,cifar10,10,44,sel_perclient,20,0.9440,0.9065,0.9588,"per-client vote (biased), 18/20 chose B"
peers,20,0.16,10000,cifar10,10,44,sel_federated,20,0.9424,0.9065,0.9588,"federation picked B (B=0.9811 A=0.9512)"
peers,20,0.16,10000,cifar10,10,44,sel_fed_balanced,20,0.9424,0.9065,0.9588,"federation picked B (B=0.9667 A=0.9553)"
peers,20,0.16,10000,cifar10,10,44,sel_globalprior,20,0.9529,0.9529,0.9529,"picked A (E_B=0.6857 E_A=0.9506; true B=0.9424 A=0.9529)"
peers,20,0.16,10000,cifar10,10,44,sel_gp_rarefill,20,0.9529,0.9529,0.9529,"picked A (E_B=0.8948 E_A=0.9506; true B=0.9424 A=0.9529)"
peers,5,0.1,10000,cifar10,10,42,current,1,0.9574,0.9574,0.9574,"agg adapter + agg head"
peers,5,0.1,10000,cifar10,10,42,local,5,0.3638,0.2084,0.4927,"own adapter + own head"
peers,5,0.1,10000,cifar10,10,42,B_personal,5,0.9301,0.9021,0.9480,"own adapter + agg head"
