backbone,dataset,N,alpha,seed,K,tau,method,phase0_kind,probe_size_actual,sigma,agg_method,agg_depth,acc,mean_teacher,best_teacher,oracle,theta0_acc,m3_mean_gap,m3_clients_helped,m3_clients_evaluated,m3_gap,m3_student_acc_on_Di,m3_teacher_acc_on_Di,m4_mean,m4_clients_evaluated,m4_ood_acc,wall_clock_sec,phase_teacher_sec,phase_phase0_sec,phase_distill_sec,phase_aggregate_sec,phase_eval_sec,job_id,node,status,error
roberta_base_banking77,Banking77,10,0.05,42,100,4.0,no_phase0,none,0,0.0,weight_avg,depth-1,0.2681818181818182,0.15146103896103896,0.20162337662337662,0.887012987012987,0.012012987012987014,-0.6315382889485475,0,10,"[-0.6420863309352518, -0.5573622402890697, -0.5520262869660459, -0.6120689655172413, -0.702451394759087, -0.6736990154711674, -0.7015151515151515, -0.615909090909091, -0.660460021905805, -0.5978043912175649]","[0.24280575539568344, 0.3523035230352303, 0.36363636363636365, 0.2600574712643678, 0.2502113271344041, 0.26863572433192684, 0.23787878787878788, 0.32954545454545453, 0.2913472070098576, 0.27644710578842313]","[0.8848920863309353, 0.9096657633242999, 0.9156626506024096, 0.8721264367816092, 0.9526627218934911, 0.9423347398030942, 0.9393939393939394, 0.9454545454545454, 0.9518072289156626, 0.874251497005988]",0.25219986847846376,10,"[0.2766393442622951, 0.23469387755102042, 0.275, 0.24952830188679245, 0.24956140350877193, 0.24454545454545454, 0.26166666666666666, 0.214, 0.26636363636363636, 0.25]",2.0477192401885986,0.7205941677093506,0.004966020584106445,1.2115504741668701,0.0011560916900634766,0.05714535713195801,,3bc506f13a5e,success,
roberta_base_banking77,Banking77,10,0.05,42,300,4.0,no_phase0,none,0,0.0,weight_avg,depth-1,0.38636363636363635,0.15142857142857144,0.20162337662337662,0.887012987012987,0.012012987012987014,-0.5101504693911345,0,10,"[-0.5431654676258993, -0.4435411020776875, -0.43263964950711936, -0.521551724137931, -0.6120033812341504, -0.5126582278481013, -0.5333333333333334, -0.5053030303030304, -0.52026286966046, -0.4770459081836328]","[0.3435251798561151, 0.46612466124661245, 0.4830230010952902, 0.3505747126436782, 0.34065934065934067, 0.42967651195499296, 0.40606060606060607, 0.4393939393939394, 0.4315443592552026, 0.39820359281437123]","[0.8866906474820144, 0.9096657633242999, 0.9156626506024096, 0.8721264367816092, 0.9526627218934911, 0.9423347398030942, 0.9393939393939394, 0.9446969696969697, 0.9518072289156626, 0.875249500998004]",0.3606708978964216,10,"[0.39467213114754096, 0.34438775510204084, 0.38552631578947366, 0.3481132075471698, 0.36140350877192984, 0.33590909090909093, 0.37333333333333335, 0.307, 0.3663636363636364, 0.39]",2.9949138164520264,0.5067713260650635,0.003612518310546875,2.3853068351745605,0.0006818771362304688,0.044647216796875,,3bc506f13a5e,success,
roberta_base_banking77,Banking77,10,0.05,42,300,4.0,no_phase0,none,0,0.0,weight_avg,depth-1,0.21753246753246752,0.09698051948051947,0.13733766233766234,0.8626623376623377,0.013636363636363636,-0.5330661554010926,0,10,"[-0.4658273381294964, -0.41553748870822044, -0.5848849945235487, -0.4813218390804598, -0.6196111580726965, -0.46905766526019693, -0.7681818181818182, -0.5356060606060606, -0.6024096385542169, -0.38822355289421157]","[0.17446043165467626, 0.3333333333333333, 0.1949616648411829, 0.22701149425287356, 0.20202874049027894, 0.3234880450070324, 0.09242424242424242, 0.23636363636363636, 0.1511500547645126, 0.2964071856287425]","[0.6402877697841727, 0.7488708220415538, 0.7798466593647316, 0.7083333333333334, 0.8216398985629755, 0.7925457102672293, 0.8606060606060606, 0.771969696969697, 0.7535596933187295, 0.6846307385229541]",0.18638356435303555,10,"[0.22295081967213115, 0.16989795918367348, 0.24605263157894736, 0.17641509433962263, 0.20614035087719298, 0.1481818181818182, 0.21583333333333332, 0.202, 0.22636363636363635, 0.05]",4.259940147399902,0.7228972911834717,0.005074024200439453,3.4217567443847656,0.0011675357818603516,0.054186105728149414,,3bc506f13a5e,success,
roberta_base_banking77,Banking77,10,0.05,42,300,4.0,no_phase0,none,0,0.0,weight_avg,depth-1,0.3853896103896104,0.15146103896103896,0.20162337662337662,0.887012987012987,0.012012987012987014,-0.5102213825338353,0,10,"[-0.5449640287769785, -0.44263775971093045, -0.43263964950711936, -0.521551724137931, -0.6120033812341504, -0.5119549929676512, -0.5333333333333334, -0.5068181818181818, -0.52026286966046, -0.4760479041916168]","[0.33992805755395683, 0.4670280036133695, 0.4830230010952902, 0.3505747126436782, 0.34065934065934067, 0.43037974683544306, 0.40606060606060607, 0.43863636363636366, 0.4315443592552026, 0.39820359281437123]","[0.8848920863309353, 0.9096657633242999, 0.9156626506024096, 0.8721264367816092, 0.9526627218934911, 0.9423347398030942, 0.9393939393939394, 0.9454545454545454, 0.9518072289156626, 0.874251497005988]",0.35972257416778375,10,"[0.39385245901639343, 0.3433673469387755, 0.38421052631578945, 0.3471698113207547, 0.3600877192982456, 0.335, 0.3720833333333333, 0.306, 0.3654545454545455, 0.39]",27.928397178649902,1.018507957458496,0.005217552185058594,3.5844316482543945,0.0012068748474121094,0.08723092079162598,,3bc506f13a5e,success,
roberta_base_banking77,Banking77,10,0.05,42,300,4.0,no_phase0,none,0,0.0,weight_avg,depth-1,0.3912337662337662,0.15146103896103896,0.20162337662337662,0.887012987012987,0.012012987012987014,-0.5021398522758274,0,10,"[-0.5845323741007195, -0.41915085817524844, -0.4074479737130339, -0.5402298850574712, -0.5579036348267117, -0.5049226441631505, -0.596969696969697, -0.4325757575757575, -0.5125958378970427, -0.46506986027944114]","[0.30035971223021585, 0.4905149051490515, 0.5082146768893757, 0.33189655172413796, 0.39475908706677937, 0.43741209563994377, 0.3424242424242424, 0.5128787878787879, 0.43921139101861995, 0.4091816367265469]","[0.8848920863309353, 0.9096657633242999, 0.9156626506024096, 0.8721264367816092, 0.9526627218934911, 0.9423347398030942, 0.9393939393939394, 0.9454545454545454, 0.9518072289156626, 0.874251497005988]",0.3757682043383895,10,"[0.41680327868852457, 0.3637755102040816, 0.4017543859649123, 0.3740566037735849, 0.3684210526315789, 0.35409090909090907, 0.3929166666666667, 0.3195, 0.38636363636363635, 0.38]",5.687567949295044,0.7387301921844482,0.005078554153442383,4.827000141143799,0.0011997222900390625,0.05692338943481445,,3bc506f13a5e,success,
roberta_base_banking77,Banking77,10,0.05,42,50,4.0,no_phase0,none,0,0.0,weight_avg,depth-1,0.17402597402597403,0.15146103896103896,0.20162337662337662,0.887012987012987,0.012012987012987014,-0.7341734311731062,0,10,"[-0.7302158273381295, -0.6621499548328817, -0.6703176341730558, -0.742816091954023, -0.7928994082840236, -0.7827004219409283, -0.796969696969697, -0.7159090909090908, -0.7601314348302299, -0.6876247504990021]","[0.15467625899280577, 0.24751580849141824, 0.24534501642935377, 0.12931034482758622, 0.15976331360946747, 0.15963431786216598, 0.14242424242424243, 0.22954545454545455, 0.19167579408543264, 0.18662674650698602]","[0.8848920863309353, 0.9096657633242999, 0.9156626506024096, 0.8721264367816092, 0.9526627218934911, 0.9423347398030942, 0.9393939393939394, 0.9454545454545454, 0.9518072289156626, 0.874251497005988]",0.16297972203034009,10,"[0.1778688524590164, 0.15051020408163265, 0.17763157894736842, 0.16886792452830188, 0.16140350877192983, 0.165, 0.17083333333333334, 0.1445, 0.1731818181818182, 0.14]",1.505143642425537,0.7639145851135254,0.005094051361083984,0.6240410804748535,0.0011038780212402344,0.05576610565185547,,3bc506f13a5e,success,
roberta_base_banking77,Banking77,10,0.05,42,600,4.0,no_phase0,none,0,0.0,weight_avg,depth-1,0.42694805194805197,0.15146103896103896,0.20162337662337662,0.887012987012987,0.012012987012987014,-0.4576644253219742,0,10,"[-0.4946043165467626, -0.41463414634146345, -0.3877327491785323, -0.49137931034482757, -0.569737954353339, -0.42334739803094235, -0.4545454545454546, -0.45909090909090905, -0.41949616648411825, -0.4620758483033932]","[0.3902877697841727, 0.4950316169828365, 0.5279299014238773, 0.3807471264367816, 0.38292476754015214, 0.5189873417721519, 0.48484848484848486, 0.4863636363636364, 0.5323110624315444, 0.4121756487025948]","[0.8848920863309353, 0.9096657633242999, 0.9156626506024096, 0.8721264367816092, 0.9526627218934911, 0.9423347398030942, 0.9393939393939394, 0.9454545454545454, 0.9518072289156626, 0.874251497005988]",0.40325056078425403,10,"[0.4344262295081967, 0.3892857142857143, 0.42719298245614035, 0.3877358490566038, 0.39517543859649124, 0.36272727272727273, 0.40791666666666665, 0.3385, 0.38954545454545453, 0.5]",8.287084817886353,0.7876129150390625,0.0050201416015625,7.389822483062744,0.0011878013610839844,0.05702471733093262,,3bc506f13a5e,success,
roberta_base_banking77,Banking77,10,0.05,43,100,4.0,no_phase0,none,0,0.0,weight_avg,depth-1,0.237987012987013,0.14496753246753247,0.17792207792207793,0.887012987012987,0.021103896103896104,-0.6725265286482018,0,10,"[-0.711670480549199, -0.5473588342440803, -0.6655480984340045, -0.7200292397660819, -0.7241071428571428, -0.706831119544592, -0.6506506506506506, -0.6376651982378854, -0.6867469879518073, -0.6746575342465754]","[0.21853546910755148, 0.3333333333333333, 0.20469798657718122, 0.2309941520467836, 0.2017857142857143, 0.2125237191650854, 0.24224224224224225, 0.30066079295154186, 0.17900172117039587, 0.21232876712328766]","[0.9302059496567505, 0.8806921675774135, 0.8702460850111857, 0.9510233918128655, 0.9258928571428572, 0.9193548387096774, 0.8928928928928929, 0.9383259911894273, 0.8657487091222031, 0.886986301369863]",0.2357396873199255,10,"[0.21271186440677967, 0.209, 0.24568965517241378, 0.24545454545454545, 0.2357142857142857, 0.2375, 0.22156862745098038, 0.24525862068965518, 0.2160377358490566, 0.28846153846153844]",2.156548261642456,0.7762069702148438,0.004994869232177734,1.2724132537841797,0.001155853271484375,0.05692648887634277,,3bc506f13a5e,success,
roberta_base_banking77,Banking77,10,0.05,43,300,4.0,no_phase0,none,0,0.0,weight_avg,depth-1,0.37077922077922076,0.14487012987012987,0.17824675324675324,0.8873376623376623,0.021103896103896104,-0.5313323800943909,0,10,"[-0.5983981693363845, -0.43351548269581053, -0.5436241610738255, -0.560672514619883, -0.5839285714285715, -0.5853889943074003, -0.44344344344344344, -0.5033039647577092, -0.5507745266781412, -0.5102739726027397]","[0.3318077803203661, 0.44899817850637525, 0.32662192393736017, 0.3896198830409357, 0.3419642857142857, 0.33396584440227706, 0.4494494494494494, 0.43502202643171806, 0.31497418244406195, 0.3767123287671233]","[0.9302059496567505, 0.8825136612021858, 0.8702460850111857, 0.9502923976608187, 0.9258928571428572, 0.9193548387096774, 0.8928928928928929, 0.9383259911894273, 0.8657487091222031, 0.886986301369863]",0.36129449890243226,10,"[0.3440677966101695, 0.3235, 0.3775862068965517, 0.37136363636363634, 0.36339285714285713, 0.3535714285714286, 0.32941176470588235, 0.36637931034482757, 0.3490566037735849, 0.4346153846153846]",2.9159059524536133,0.5002577304840088,0.003494739532470703,2.315593957901001,0.0007328987121582031,0.043967485427856445,,3bc506f13a5e,success,
roberta_base_banking77,Banking77,10,0.05,43,300,4.0,no_phase0,none,0,0.0,weight_avg,depth-1,0.20422077922077922,0.09165584415584414,0.1340909090909091,0.8558441558441559,0.017207792207792207,-0.5201437508609483,0,10,"[-0.5389016018306636, -0.4717668488160291, -0.41722595078299773, -0.5650584795321637, -0.5678571428571428, -0.5294117647058822, -0.36836836836836834, -0.6189427312775331, -0.5645438898450947, -0.5593607305936072]","[0.2425629290617849, 0.2204007285974499, 0.16778523489932887, 0.25, 0.22321428571428573, 0.2314990512333966, 0.34634634634634637, 0.19383259911894274, 0.16351118760757316, 0.15296803652968036]","[0.7814645308924485, 0.692167577413479, 0.5850111856823266, 0.8150584795321637, 0.7910714285714285, 0.7609108159392789, 0.7147147147147147, 0.8127753303964758, 0.7280550774526678, 0.7123287671232876]",0.20095364150977998,10,"[0.186864406779661, 0.209, 0.21724137931034482, 0.17863636363636365, 0.19017857142857142, 0.2017857142857143, 0.1514705882352941, 0.20948275862068966, 0.17641509433962263, 0.28846153846153844]",3.979188919067383,0.6600496768951416,0.004954099655151367,3.214686155319214,0.0011417865753173828,0.05279040336608887,,3bc506f13a5e,success,
