alpha,no_phase0,labelled_probe_warmup,raw_union_K20,dp_avg_eps2_K20,dp_avg_eps8_K20
0.05,0.0979,0.0513,0.0072,0.038,0.0396
0.1,0.0751,0.0249,0.0003,0.0551,0.0235
0.3,0.0098,0.0058,0.0017,0.0082,0.0046
1.0,0.0005,0.0005,0.0012,0.0012,0.0006
