alpha,no_phase0,labelled_probe_warmup,raw_union_K20,dp_avg_eps2_K20,dp_avg_eps8_K20
0.05,0.25,0.297,0.2504,0.251,0.25
0.1,0.25,0.25,0.2514,0.3298,0.25
0.3,0.2994,0.25,0.26,0.3064,0.2512
1.0,0.2682,0.251,0.2611,0.285,0.2968
