eps,1,5,20
0.5,0.3487,0.529,0.7776
2.0,0.5022,0.7937,0.8363
8.0,0.7609,0.8365,0.8765
32.0,0.8221,0.876,0.8838
inf,0.8775,0.8835,0.8841
