alpha,no_phase0,labelled_probe_warmup,raw_union_K20,dp_avg_eps2_K20,dp_avg_eps8_K20
0.05,0.0,0.0769,0.0008,0.0017,0.0
0.1,0.0,0.0,0.0024,0.1385,0.0
0.3,0.0485,0.0,0.0095,0.0591,0.0019
1.0,0.0279,0.0017,0.0188,0.0582,0.0558
