section,setup,seed,alpha,probe_size,method,acc,runtime_s,backbone,eps,K_per_class
B,cifar10_vit_b32,42,0.05,,labelled_probe_warmup,0.8174,9.8,vit_b32,,
B,cifar10_vit_b32,42,0.05,,raw_union_K20,0.9384,10.1,vit_b32,,
B,cifar10_vit_b32,42,0.05,,dp_avg_eps2_K20,0.7017,10.0,vit_b32,,
B,cifar10_vit_b32,42,0.05,,dp_avg_eps8_K20,0.7773,10.0,vit_b32,,
B,cifar10_vit_b32,42,0.1,,no_phase0,0.8453,9.7,vit_b32,,
B,cifar10_vit_b32,42,0.1,,labelled_probe_warmup,0.91,10.4,vit_b32,,
B,cifar10_vit_b32,42,0.1,,raw_union_K20,0.9491,10.0,vit_b32,,
B,cifar10_vit_b32,42,0.1,,dp_avg_eps2_K20,0.8747,9.9,vit_b32,,
B,cifar10_vit_b32,42,0.1,,dp_avg_eps8_K20,0.8993,10.0,vit_b32,,
B,cifar10_vit_b32,42,0.3,,no_phase0,0.9416,9.7,vit_b32,,
B,cifar10_vit_b32,42,0.3,,labelled_probe_warmup,0.9503,9.8,vit_b32,,
B,cifar10_vit_b32,42,0.3,,raw_union_K20,0.9609,10.6,vit_b32,,
B,cifar10_vit_b32,42,0.3,,dp_avg_eps2_K20,0.9439,9.8,vit_b32,,
B,cifar10_vit_b32,42,0.3,,dp_avg_eps8_K20,0.9481,9.8,vit_b32,,
B,cifar10_vit_b32,42,1.0,,no_phase0,0.9622,9.7,vit_b32,,
B,cifar10_vit_b32,42,1.0,,labelled_probe_warmup,0.963,10.1,vit_b32,,
B,cifar10_vit_b32,42,1.0,,raw_union_K20,0.9671,10.1,vit_b32,,
B,cifar10_vit_b32,42,1.0,,dp_avg_eps2_K20,0.9633,10.1,vit_b32,,
B,cifar10_vit_b32,42,1.0,,dp_avg_eps8_K20,0.9634,9.8,vit_b32,,
B,cifar10_vit_b32,43,0.05,,no_phase0,0.4598,9.8,vit_b32,,
B,cifar10_vit_b32,43,0.05,,labelled_probe_warmup,0.7683,10.1,vit_b32,,
B,cifar10_vit_b32,43,0.05,,raw_union_K20,0.9332,10.2,vit_b32,,
B,cifar10_vit_b32,43,0.05,,dp_avg_eps2_K20,0.6533,9.9,vit_b32,,
B,cifar10_vit_b32,43,0.05,,dp_avg_eps8_K20,0.7529,10.1,vit_b32,,
B,cifar10_vit_b32,43,0.1,,no_phase0,0.7951,10.2,vit_b32,,
B,cifar10_vit_b32,43,0.1,,labelled_probe_warmup,0.8811,10.1,vit_b32,,
B,cifar10_vit_b32,43,0.1,,raw_union_K20,0.9491,9.9,vit_b32,,
B,cifar10_vit_b32,43,0.1,,dp_avg_eps2_K20,0.861,9.8,vit_b32,,
B,cifar10_vit_b32,43,0.1,,dp_avg_eps8_K20,0.8779,10.5,vit_b32,,
B,cifar10_vit_b32,43,0.3,,no_phase0,0.9221,10.2,vit_b32,,
B,cifar10_vit_b32,43,0.3,,labelled_probe_warmup,0.9389,10.6,vit_b32,,
B,cifar10_vit_b32,43,0.3,,raw_union_K20,0.958,10.4,vit_b32,,
B,cifar10_vit_b32,43,0.3,,dp_avg_eps2_K20,0.9278,10.7,vit_b32,,
B,cifar10_vit_b32,43,0.3,,dp_avg_eps8_K20,0.9391,10.5,vit_b32,,
B,cifar10_vit_b32,43,1.0,,no_phase0,0.9628,9.9,vit_b32,,
B,cifar10_vit_b32,43,1.0,,labelled_probe_warmup,0.9624,9.9,vit_b32,,
B,cifar10_vit_b32,43,1.0,,raw_union_K20,0.9648,10.1,vit_b32,,
B,cifar10_vit_b32,43,1.0,,dp_avg_eps2_K20,0.962,10.2,vit_b32,,
B,cifar10_vit_b32,43,1.0,,dp_avg_eps8_K20,0.9624,10.1,vit_b32,,
B,cifar10_vit_b32,44,0.05,,no_phase0,0.6416,9.8,vit_b32,,
B,cifar10_vit_b32,44,0.05,,labelled_probe_warmup,0.8709,10.0,vit_b32,,
B,cifar10_vit_b32,44,0.05,,raw_union_K20,0.9474,10.6,vit_b32,,
B,cifar10_vit_b32,44,0.05,,dp_avg_eps2_K20,0.7283,10.5,vit_b32,,
