alpha,no_phase0,labelled_probe_warmup,raw_union_K20,dp_avg_eps2_K20,dp_avg_eps8_K20
0.05,0.5297,0.8189,0.9397,0.6944,0.7868
0.1,0.7793,0.8838,0.9489,0.8363,0.8765
0.3,0.9313,0.9439,0.96,0.9366,0.9432
1.0,0.9623,0.9625,0.966,0.9621,0.9627
