section,setup,seed,alpha,probe_size,method,acc,runtime_s,backbone,eps,K_per_class
C,ag_news_gpt2_small,42,0.1,,dp_avg_eps8_K20,0.25,14.6,gpt2_small,,
C,ag_news_gpt2_small,42,0.3,,no_phase0,0.25,14.1,gpt2_small,,
C,ag_news_gpt2_small,42,0.3,,labelled_probe_warmup,0.25,13.8,gpt2_small,,
C,ag_news_gpt2_small,42,0.3,,raw_union_K20,0.2612,14.3,gpt2_small,,
C,ag_news_gpt2_small,42,0.3,,dp_avg_eps2_K20,0.25,14.5,gpt2_small,,
C,ag_news_gpt2_small,42,0.3,,dp_avg_eps8_K20,0.2503,14.4,gpt2_small,,
C,ag_news_gpt2_small,42,1.0,,no_phase0,0.2538,14.4,gpt2_small,,
C,ag_news_gpt2_small,42,1.0,,labelled_probe_warmup,0.25,14.3,gpt2_small,,
C,ag_news_gpt2_small,42,1.0,,raw_union_K20,0.2828,14.1,gpt2_small,,
C,ag_news_gpt2_small,42,1.0,,dp_avg_eps2_K20,0.3522,14.4,gpt2_small,,
C,ag_news_gpt2_small,42,1.0,,dp_avg_eps8_K20,0.2817,15.2,gpt2_small,,
C,ag_news_gpt2_small,43,0.05,,no_phase0,0.25,14.6,gpt2_small,,
C,ag_news_gpt2_small,43,0.05,,labelled_probe_warmup,0.2553,13.8,gpt2_small,,
C,ag_news_gpt2_small,43,0.05,,raw_union_K20,0.2513,14.3,gpt2_small,,
C,ag_news_gpt2_small,43,0.05,,dp_avg_eps2_K20,0.25,14.2,gpt2_small,,
C,ag_news_gpt2_small,43,0.05,,dp_avg_eps8_K20,0.25,13.9,gpt2_small,,
C,ag_news_gpt2_small,43,0.1,,no_phase0,0.25,15.0,gpt2_small,,
C,ag_news_gpt2_small,43,0.1,,labelled_probe_warmup,0.25,14.1,gpt2_small,,
C,ag_news_gpt2_small,43,0.1,,raw_union_K20,0.25,14.3,gpt2_small,,
C,ag_news_gpt2_small,43,0.1,,dp_avg_eps2_K20,0.2497,14.1,gpt2_small,,
C,ag_news_gpt2_small,43,0.1,,dp_avg_eps8_K20,0.25,14.3,gpt2_small,,
C,ag_news_gpt2_small,43,0.3,,no_phase0,0.3011,14.7,gpt2_small,,
C,ag_news_gpt2_small,43,0.3,,labelled_probe_warmup,0.25,14.4,gpt2_small,,
C,ag_news_gpt2_small,43,0.3,,raw_union_K20,0.25,14.6,gpt2_small,,
C,ag_news_gpt2_small,43,0.3,,dp_avg_eps2_K20,0.3679,14.3,gpt2_small,,
C,ag_news_gpt2_small,43,0.3,,dp_avg_eps8_K20,0.25,14.6,gpt2_small,,
C,ag_news_gpt2_small,43,1.0,,no_phase0,0.2504,14.4,gpt2_small,,
C,ag_news_gpt2_small,43,1.0,,labelled_probe_warmup,0.25,14.7,gpt2_small,,
C,ag_news_gpt2_small,43,1.0,,raw_union_K20,0.2501,14.4,gpt2_small,,
C,ag_news_gpt2_small,43,1.0,,dp_avg_eps2_K20,0.2522,14.2,gpt2_small,,
C,ag_news_gpt2_small,43,1.0,,dp_avg_eps8_K20,0.25,14.8,gpt2_small,,
C,ag_news_gpt2_small,44,0.05,,no_phase0,0.25,13.1,gpt2_small,,
C,ag_news_gpt2_small,44,0.05,,labelled_probe_warmup,0.3857,12.9,gpt2_small,,
C,ag_news_gpt2_small,44,0.05,,raw_union_K20,0.25,13.3,gpt2_small,,
C,ag_news_gpt2_small,44,0.05,,dp_avg_eps2_K20,0.253,13.6,gpt2_small,,
C,ag_news_gpt2_small,44,0.05,,dp_avg_eps8_K20,0.25,13.4,gpt2_small,,
C,ag_news_gpt2_small,44,0.1,,no_phase0,0.25,14.5,gpt2_small,,
C,ag_news_gpt2_small,44,0.1,,labelled_probe_warmup,0.25,14.6,gpt2_small,,
C,ag_news_gpt2_small,44,0.1,,raw_union_K20,0.25,14.7,gpt2_small,,
C,ag_news_gpt2_small,44,0.1,,dp_avg_eps2_K20,0.4897,14.6,gpt2_small,,
C,ag_news_gpt2_small,44,0.1,,dp_avg_eps8_K20,0.25,15.0,gpt2_small,,
C,ag_news_gpt2_small,44,0.3,,no_phase0,0.347,14.0,gpt2_small,,
C,ag_news_gpt2_small,44,0.3,,labelled_probe_warmup,0.25,14.8,gpt2_small,,
C,ag_news_gpt2_small,44,0.3,,raw_union_K20,0.2688,14.6,gpt2_small,,
C,ag_news_gpt2_small,44,0.3,,dp_avg_eps2_K20,0.3013,14.9,gpt2_small,,
C,ag_news_gpt2_small,44,0.3,,dp_avg_eps8_K20,0.2534,14.2,gpt2_small,,
C,ag_news_gpt2_small,44,1.0,,no_phase0,0.3003,14.3,gpt2_small,,
C,ag_news_gpt2_small,44,1.0,,labelled_probe_warmup,0.253,14.1,gpt2_small,,
C,ag_news_gpt2_small,44,1.0,,raw_union_K20,0.2503,15.1,gpt2_small,,
C,ag_news_gpt2_small,44,1.0,,dp_avg_eps2_K20,0.2507,14.3,gpt2_small,,
C,ag_news_gpt2_small,44,1.0,,dp_avg_eps8_K20,0.3586,14.4,gpt2_small,,
