alpha,no_phase0,labelled_probe_warmup,raw_union_K20,dp_avg_eps2_K20,dp_avg_eps8_K20
0.05,0.1871,0.2083,0.5661,0.196,0.2055
0.1,0.3642,0.3936,0.6534,0.3823,0.3932
0.3,0.6187,0.6346,0.782,0.6314,0.6371
1.0,0.7916,0.794,0.8358,0.7927,0.7938
