alpha,no_phase0,labelled_probe_warmup,raw_union_K20,dp_avg_eps2_K20,dp_avg_eps8_K20
0.05,0.0337,0.0315,0.0479,0.0348,0.0349
0.1,0.079,0.0925,0.0588,0.092,0.0959
0.3,0.0459,0.0429,0.0201,0.0402,0.0406
1.0,0.0071,0.0079,0.0026,0.0087,0.0079
