alpha,no_phase0,labelled_probe_warmup,raw_union_K20,dp_avg_eps2_K20,dp_avg_eps8_K20
0.05,0.1075,0.1034,0.1547,0.1004,0.1012
0.1,0.1596,0.1627,0.0567,0.1606,0.1615
0.3,0.0942,0.0986,0.083,0.0971,0.0977
1.0,0.0024,0.0021,0.0024,0.0019,0.0013
