setup,alpha,eps,K_per_class,mean,std,count
ag_news_gpt2_small,0.1,8.0,20.0,0.25,0.0,3
ag_news_gpt2_small,0.1,32.0,1.0,0.2901666666666667,0.055737091181127636,3
ag_news_gpt2_small,0.1,32.0,5.0,0.2501333333333333,0.0002309401076758369,3
ag_news_gpt2_small,0.1,32.0,20.0,0.25003333333333333,5.7735026918956215e-05,3
ag_news_gpt2_small,0.1,inf,1.0,0.25003333333333333,5.7735026918956215e-05,3
ag_news_gpt2_small,0.1,inf,5.0,0.25,0.0,3
ag_news_gpt2_small,0.1,inf,20.0,0.2502666666666667,0.00046188021535170583,3
ag_news_gpt2_small,1.0,0.5,1.0,0.24133333333333332,0.04050152260512355,3
ag_news_gpt2_small,1.0,0.5,5.0,0.25930000000000003,0.016021547990128816,3
ag_news_gpt2_small,1.0,0.5,20.0,0.25,0.0,3
ag_news_gpt2_small,1.0,2.0,1.0,0.25,0.0,3
ag_news_gpt2_small,1.0,2.0,5.0,0.25,0.0,3
ag_news_gpt2_small,1.0,2.0,20.0,0.2850333333333333,0.05817287454934077,3
ag_news_gpt2_small,1.0,8.0,1.0,0.2588,0.012893409169028976,3
ag_news_gpt2_small,1.0,8.0,5.0,0.25,0.0,3
ag_news_gpt2_small,1.0,8.0,20.0,0.2967666666666667,0.0558457100709923,3
ag_news_gpt2_small,1.0,32.0,1.0,0.25,0.0,3
ag_news_gpt2_small,1.0,32.0,5.0,0.25,0.0,3
ag_news_gpt2_small,1.0,32.0,20.0,0.2542,0.007274613391789264,3
ag_news_gpt2_small,1.0,inf,1.0,0.25,0.0,3
ag_news_gpt2_small,1.0,inf,5.0,0.25003333333333333,5.773502691895622e-05,3
ag_news_gpt2_small,1.0,inf,20.0,0.2676,0.030484094213212232,3
cifar10_vit_b32,0.05,0.5,1.0,0.2676,0.079723835833457,3
cifar10_vit_b32,0.05,0.5,5.0,0.3716333333333333,0.0784965179694828,3
cifar10_vit_b32,0.05,0.5,20.0,0.6136,0.06544868218688593,3
cifar10_vit_b32,0.05,2.0,1.0,0.35833333333333334,0.08549270924080796,3
cifar10_vit_b32,0.05,2.0,5.0,0.5981333333333333,0.07582904017151568,3
cifar10_vit_b32,0.05,2.0,20.0,0.6944333333333333,0.0380243781452548,3
cifar10_vit_b32,0.05,8.0,1.0,0.5776666666666667,0.11400404963567452,3
cifar10_vit_b32,0.05,8.0,5.0,0.6859666666666667,0.06447645565113932,3
cifar10_vit_b32,0.05,8.0,20.0,0.7868333333333334,0.0395708647028762,3
cifar10_vit_b32,0.05,32.0,1.0,0.6469666666666667,0.06995894033883973,3
cifar10_vit_b32,0.05,32.0,5.0,0.7852333333333333,0.0503064939479321,3
cifar10_vit_b32,0.05,32.0,20.0,0.8069666666666667,0.03826974435939354,3
cifar10_vit_b32,0.05,inf,1.0,0.7935333333333334,0.03684634762542055,3
cifar10_vit_b32,0.05,inf,5.0,0.8089333333333334,0.03499176093501633,3
cifar10_vit_b32,0.05,inf,20.0,0.8070666666666666,0.03660072859019799,3
cifar10_vit_b32,0.1,0.5,1.0,0.3487,0.017548789132017056,3
cifar10_vit_b32,0.1,0.5,5.0,0.5289666666666667,0.061675386770845095,3
cifar10_vit_b32,0.1,0.5,20.0,0.7775666666666666,0.05160952754417864,3
cifar10_vit_b32,0.1,2.0,1.0,0.5022333333333334,0.02220480428495904,3
cifar10_vit_b32,0.1,2.0,5.0,0.7937333333333333,0.044989035701305385,3
cifar10_vit_b32,0.1,2.0,20.0,0.8362666666666666,0.05513114667167132,3
cifar10_vit_b32,0.1,8.0,1.0,0.7609333333333334,0.07687134273143231,3
cifar10_vit_b32,0.1,8.0,5.0,0.8364666666666666,0.05258681710593766,3
cifar10_vit_b32,0.1,8.0,20.0,0.8765000000000001,0.02353125581009232,3
cifar10_vit_b32,0.1,32.0,1.0,0.8220999999999999,0.060850554640035866,3
cifar10_vit_b32,0.1,32.0,5.0,0.8760333333333333,0.024742136798048237,3
cifar10_vit_b32,0.1,32.0,20.0,0.8837999999999999,0.019511022525741717,3
cifar10_vit_b32,0.1,inf,1.0,0.8775333333333334,0.020452465214084458,3
cifar10_vit_b32,0.1,inf,5.0,0.8835000000000001,0.019451478092936774,3
cifar10_vit_b32,0.1,inf,20.0,0.8841333333333333,0.018305554712527334,3
cifar10_vit_b32,1.0,0.5,1.0,0.6971666666666666,0.006375996654118728,3
cifar10_vit_b32,1.0,0.5,5.0,0.9091999999999999,0.0039000000000000146,3
cifar10_vit_b32,1.0,0.5,20.0,0.9595666666666668,0.0014153915830374805,3
cifar10_vit_b32,1.0,2.0,1.0,0.8742666666666666,0.0028183919765237347,3
cifar10_vit_b32,1.0,2.0,5.0,0.9600333333333334,0.0011590225767142315,3
cifar10_vit_b32,1.0,2.0,20.0,0.9620666666666667,0.0012013880860626954,3
cifar10_vit_b32,1.0,8.0,1.0,0.9578333333333333,0.0018556220879622544,3
cifar10_vit_b32,1.0,8.0,5.0,0.9620333333333333,0.000642910050732872,3
cifar10_vit_b32,1.0,8.0,20.0,0.9627333333333334,0.0005773502691896744,3
cifar10_vit_b32,1.0,32.0,1.0,0.9622999999999999,0.0006999999999999507,3
cifar10_vit_b32,1.0,32.0,5.0,0.9625333333333334,0.0004509249752823064,3
cifar10_vit_b32,1.0,32.0,20.0,0.9627,0.0003605551275463592,3
cifar10_vit_b32,1.0,inf,1.0,0.9627,0.0002645751311064299,3
cifar10_vit_b32,1.0,inf,5.0,0.9625666666666666,0.0004163331998932584,3
cifar10_vit_b32,1.0,inf,20.0,0.9628666666666666,0.00032145502536639643,3
