section,setup,seed,alpha,probe_size,method,acc,runtime_s,backbone,eps,K_per_class
D,cifar10_vit_b32,43,0.05,,dp_avg_eps32.0_K1,0.5837,10.7,vit_b32,32.0,1.0
D,cifar10_vit_b32,43,0.05,,dp_avg_eps32.0_K5,0.7354,10.2,vit_b32,32.0,5.0
D,cifar10_vit_b32,43,0.05,,dp_avg_eps32.0_K20,0.7701,10.1,vit_b32,32.0,20.0
D,cifar10_vit_b32,43,0.05,,dp_avg_epsinf_K1,0.7578,10.3,vit_b32,inf,1.0
D,cifar10_vit_b32,43,0.05,,dp_avg_epsinf_K5,0.7759,10.1,vit_b32,inf,5.0
D,cifar10_vit_b32,43,0.05,,dp_avg_epsinf_K20,0.7706,10.1,vit_b32,inf,20.0
D,cifar10_vit_b32,43,0.1,,dp_avg_eps0.5_K1,0.3677,10.4,vit_b32,0.5,1.0
D,cifar10_vit_b32,43,0.1,,dp_avg_eps0.5_K5,0.5605,10.3,vit_b32,0.5,5.0
D,cifar10_vit_b32,43,0.1,,dp_avg_eps0.5_K20,0.8089,10.2,vit_b32,0.5,20.0
D,cifar10_vit_b32,43,0.1,,dp_avg_eps2.0_K1,0.5247,10.9,vit_b32,2.0,1.0
D,cifar10_vit_b32,43,0.1,,dp_avg_eps2.0_K5,0.8186,10.2,vit_b32,2.0,5.0
D,cifar10_vit_b32,43,0.1,,dp_avg_eps2.0_K20,0.861,10.0,vit_b32,2.0,20.0
D,cifar10_vit_b32,43,0.1,,dp_avg_eps8.0_K1,0.8073,10.0,vit_b32,8.0,1.0
D,cifar10_vit_b32,43,0.1,,dp_avg_eps8.0_K5,0.853,10.3,vit_b32,8.0,5.0
D,cifar10_vit_b32,43,0.1,,dp_avg_eps8.0_K20,0.8779,10.4,vit_b32,8.0,20.0
D,cifar10_vit_b32,43,0.1,,dp_avg_eps32.0_K1,0.8428,10.4,vit_b32,32.0,1.0
D,cifar10_vit_b32,43,0.1,,dp_avg_eps32.0_K5,0.8777,10.4,vit_b32,32.0,5.0
D,cifar10_vit_b32,43,0.1,,dp_avg_eps32.0_K20,0.8814,10.0,vit_b32,32.0,20.0
D,cifar10_vit_b32,43,0.1,,dp_avg_epsinf_K1,0.8779,10.3,vit_b32,inf,1.0
D,cifar10_vit_b32,43,0.1,,dp_avg_epsinf_K5,0.8799,10.2,vit_b32,inf,5.0
D,cifar10_vit_b32,43,0.1,,dp_avg_epsinf_K20,0.8792,10.4,vit_b32,inf,20.0
D,cifar10_vit_b32,43,1.0,,dp_avg_eps0.5_K1,0.6983,10.2,vit_b32,0.5,1.0
D,cifar10_vit_b32,43,1.0,,dp_avg_eps0.5_K5,0.9131,10.1,vit_b32,0.5,5.0
D,cifar10_vit_b32,43,1.0,,dp_avg_eps0.5_K20,0.9588,10.0,vit_b32,0.5,20.0
D,cifar10_vit_b32,43,1.0,,dp_avg_eps2.0_K1,0.8752,10.3,vit_b32,2.0,1.0
D,cifar10_vit_b32,43,1.0,,dp_avg_eps2.0_K5,0.9608,10.6,vit_b32,2.0,5.0
D,cifar10_vit_b32,43,1.0,,dp_avg_eps2.0_K20,0.962,10.1,vit_b32,2.0,20.0
D,cifar10_vit_b32,43,1.0,,dp_avg_eps8.0_K1,0.9559,10.9,vit_b32,8.0,1.0
D,cifar10_vit_b32,43,1.0,,dp_avg_eps8.0_K5,0.9625,9.8,vit_b32,8.0,5.0
D,cifar10_vit_b32,43,1.0,,dp_avg_eps8.0_K20,0.9624,10.0,vit_b32,8.0,20.0
D,cifar10_vit_b32,43,1.0,,dp_avg_eps32.0_K1,0.9616,10.4,vit_b32,32.0,1.0
D,cifar10_vit_b32,43,1.0,,dp_avg_eps32.0_K5,0.9625,10.4,vit_b32,32.0,5.0
D,cifar10_vit_b32,43,1.0,,dp_avg_eps32.0_K20,0.9624,10.3,vit_b32,32.0,20.0
D,cifar10_vit_b32,43,1.0,,dp_avg_epsinf_K1,0.9629,10.0,vit_b32,inf,1.0
D,cifar10_vit_b32,43,1.0,,dp_avg_epsinf_K5,0.9627,10.2,vit_b32,inf,5.0
D,cifar10_vit_b32,43,1.0,,dp_avg_epsinf_K20,0.963,10.4,vit_b32,inf,20.0
D,cifar10_vit_b32,44,0.05,,dp_avg_eps0.5_K1,0.3531,10.2,vit_b32,0.5,1.0
D,cifar10_vit_b32,44,0.05,,dp_avg_eps0.5_K5,0.4616,10.0,vit_b32,0.5,5.0
D,cifar10_vit_b32,44,0.05,,dp_avg_eps0.5_K20,0.6577,10.2,vit_b32,0.5,20.0
D,cifar10_vit_b32,44,0.05,,dp_avg_eps2.0_K1,0.4547,10.2,vit_b32,2.0,1.0
D,cifar10_vit_b32,44,0.05,,dp_avg_eps2.0_K5,0.6854,10.0,vit_b32,2.0,5.0
D,cifar10_vit_b32,44,0.05,,dp_avg_eps2.0_K20,0.7283,10.2,vit_b32,2.0,20.0
D,cifar10_vit_b32,44,0.05,,dp_avg_eps8.0_K1,0.7092,10.7,vit_b32,8.0,1.0
D,cifar10_vit_b32,44,0.05,,dp_avg_eps8.0_K5,0.7449,10.5,vit_b32,8.0,5.0
D,cifar10_vit_b32,44,0.05,,dp_avg_eps8.0_K20,0.8303,10.3,vit_b32,8.0,20.0
D,cifar10_vit_b32,44,0.05,,dp_avg_eps32.0_K1,0.7221,10.0,vit_b32,32.0,1.0
D,cifar10_vit_b32,44,0.05,,dp_avg_eps32.0_K5,0.836,9.9,vit_b32,32.0,5.0
D,cifar10_vit_b32,44,0.05,,dp_avg_eps32.0_K20,0.8465,10.3,vit_b32,32.0,20.0
D,cifar10_vit_b32,44,0.05,,dp_avg_epsinf_K1,0.8314,10.6,vit_b32,inf,1.0
D,cifar10_vit_b32,44,0.05,,dp_avg_epsinf_K5,0.8456,10.3,vit_b32,inf,5.0
