eps,1,5,20
0.5,0.2676,0.3716,0.6136
2.0,0.3583,0.5981,0.6944
8.0,0.5777,0.686,0.7868
32.0,0.647,0.7852,0.807
inf,0.7935,0.8089,0.8071
