task,C,seed,arrangement,cls,holders,n_holder,cos_mean,cos_top1,cos_top1_other,cos_rand
banking77,77,43,B,31,4,107,0.0782,0.1062,0.1063,0.03
banking77,77,43,B,32,2,102,0.1045,0.1371,0.1261,0.0286
banking77,77,43,B,33,2,108,0.0912,0.1301,0.118,0.0304
banking77,77,43,B,34,5,145,0.0604,0.0976,0.0843,0.0294
banking77,77,43,B,35,3,119,0.0772,0.1063,0.1022,0.0251
banking77,77,43,B,36,4,109,0.0742,0.1133,0.1035,0.0337
banking77,77,43,B,37,2,85,0.065,0.101,0.0876,0.0254
banking77,77,43,B,38,5,91,0.0728,0.0998,0.093,0.0302
banking77,77,43,B,39,3,117,0.103,0.128,0.12,0.0279
banking77,77,43,B,40,5,84,0.0593,0.0953,0.0846,0.0264
banking77,77,43,B,41,3,71,0.0901,0.1204,0.108,0.0254
banking77,77,43,B,42,3,112,0.0897,0.1084,0.1102,0.0279
banking77,77,43,B,43,5,108,0.0999,0.1322,0.1241,0.0282
banking77,77,43,B,44,6,94,0.071,0.0979,0.1005,0.0307
banking77,77,43,B,45,5,148,0.0856,0.1114,0.102,0.0306
banking77,77,43,B,46,2,130,0.0933,0.1197,0.118,0.0251
banking77,77,43,B,47,2,134,0.096,0.1238,0.1165,0.0312
banking77,77,43,B,48,5,130,0.078,0.1068,0.1019,0.0302
banking77,77,43,B,49,3,106,0.095,0.1258,0.108,0.0258
banking77,77,43,B,50,4,82,0.0674,0.0853,0.0802,0.0285
banking77,77,43,B,51,4,148,0.0774,0.1075,0.105,0.0284
banking77,77,43,B,52,2,160,0.095,0.1344,0.1043,0.0288
banking77,77,43,B,53,2,145,0.1024,0.1383,0.1321,0.0251
banking77,77,43,B,54,2,116,0.0922,0.1088,0.1118,0.0253
banking77,77,43,B,55,4,96,0.0883,0.1296,0.1239,0.0278
banking77,77,43,B,56,4,99,0.0836,0.1094,0.1036,0.0289
banking77,77,43,B,57,5,97,0.0842,0.1052,0.106,0.0316
banking77,77,43,B,58,3,108,0.1104,0.1439,0.1243,0.0245
banking77,77,43,B,59,5,133,0.0752,0.1096,0.1096,0.0222
banking77,77,43,B,60,5,79,0.0798,0.1028,0.0953,0.0266
banking77,77,43,B,61,4,137,0.0781,0.1102,0.1038,0.0259
banking77,77,43,B,62,2,94,0.1181,0.1538,0.1605,0.0287
banking77,77,43,B,63,3,162,0.1098,0.1523,0.1393,0.0287
banking77,77,43,B,64,2,157,0.0871,0.1159,0.1106,0.023
banking77,77,43,B,65,4,99,0.0613,0.087,0.08,0.0286
banking77,77,43,B,66,4,158,0.0936,0.1395,0.1216,0.0302
banking77,77,43,B,67,5,119,0.0906,0.1112,0.1228,0.0287
banking77,77,43,B,68,2,86,0.0821,0.1067,0.1038,0.0309
banking77,77,43,B,69,4,92,0.0747,0.0981,0.1002,0.0281
banking77,77,43,B,70,4,105,0.0806,0.112,0.1056,0.0333
banking77,77,43,B,71,2,115,0.0838,0.1187,0.1015,0.026
banking77,77,43,B,72,3,35,0.047,0.0762,0.0688,0.0253
banking77,77,43,B,73,4,122,0.107,0.1362,0.1243,0.0322
banking77,77,43,B,74,3,112,0.0724,0.1033,0.0947,0.0257
banking77,77,43,B,75,4,165,0.0901,0.1399,0.1229,0.0297
banking77,77,43,B,76,2,156,0.0967,0.1304,0.1285,0.0276
banking77,77,44,A,0,3,145,0.1342,0.1875,0.1649,0.0252
banking77,77,44,A,1,3,100,0.1304,0.1726,0.1446,0.0332
banking77,77,44,A,2,3,111,0.1725,0.2232,0.2079,0.0279
banking77,77,44,A,3,3,78,0.0855,0.108,0.1089,0.0335
banking77,77,44,A,4,3,117,0.1619,0.2084,0.1852,0.0314
banking77,77,44,A,5,5,152,0.1788,0.2121,0.2097,0.026
banking77,77,44,A,6,3,164,0.1455,0.1885,0.1754,0.0297
banking77,77,44,A,7,1,146,0.1842,0.2164,0.2023,0.0273
banking77,77,44,A,8,3,142,0.1597,0.1884,0.1832,0.0306
banking77,77,44,A,9,1,118,0.1509,0.2003,0.1688,0.0311
banking77,77,44,A,10,3,49,0.1699,0.1857,0.1856,0.0288
banking77,77,44,A,11,6,133,0.1076,0.1646,0.1531,0.0282
banking77,77,44,A,12,4,100,0.1456,0.1764,0.1764,0.0278
banking77,77,44,A,13,3,122,0.1852,0.2212,0.2051,0.03
banking77,77,44,A,14,5,100,0.0823,0.1245,0.1261,0.0281
banking77,77,44,A,15,4,172,0.1871,0.2218,0.2274,0.0234
banking77,77,44,A,16,4,152,0.1748,0.2084,0.2101,0.0359
banking77,77,44,A,17,5,153,0.1371,0.1799,0.1619,0.0289
banking77,77,44,A,18,4,52,0.1378,0.1624,0.1627,0.0277
banking77,77,44,A,19,4,159,0.1565,0.1875,0.1892,0.0284
banking77,77,44,A,20,5,143,0.1649,0.2015,0.1978,0.0336
banking77,77,44,A,21,5,106,0.1108,0.1545,0.1346,0.0308
banking77,77,44,A,22,2,78,0.1335,0.1802,0.1642,0.0274
banking77,77,44,A,23,1,29,0.1504,0.175,0.1674,0.0278
banking77,77,44,A,24,3,110,0.1659,0.1863,0.1896,0.0263
banking77,77,44,A,25,4,136,0.1655,0.2021,0.1901,0.0255
banking77,77,44,A,26,6,149,0.1434,0.1885,0.1743,0.0249
banking77,77,44,A,27,3,127,0.1655,0.2178,0.1946,0.0288
banking77,77,44,A,28,1,174,0.1644,0.209,0.192,0.0278
banking77,77,44,A,29,5,110,0.0969,0.1336,0.1148,0.0288
banking77,77,44,A,30,3,109,0.1386,0.1641,0.151,0.0279
banking77,77,44,A,31,3,113,0.1372,0.1697,0.1583,0.0264
banking77,77,44,A,32,6,95,-0.0683,0.0046,0.0992,0.0271
banking77,77,44,A,33,4,106,0.1519,0.1986,0.1685,0.0288
banking77,77,44,A,34,3,156,0.1441,0.1901,0.1719,0.0314
banking77,77,44,A,35,5,122,0.1523,0.1943,0.1918,0.0295
banking77,77,44,A,36,4,116,0.1415,0.182,0.1718,0.0293
banking77,77,44,A,37,3,86,0.1244,0.1535,0.1459,0.0279
banking77,77,44,A,38,4,95,0.1466,0.1816,0.1824,0.0236
banking77,77,44,A,39,5,115,0.1159,0.1463,0.1388,0.0306
banking77,77,44,A,40,4,84,0.1566,0.197,0.1943,0.0288
banking77,77,44,A,41,2,75,0.1465,0.1799,0.173,0.0274
banking77,77,44,A,42,3,103,0.1558,0.1925,0.1803,0.0289
banking77,77,44,A,43,5,106,0.0991,0.1427,0.1322,0.0253
banking77,77,44,A,44,4,95,0.1195,0.1501,0.1343,0.0274
banking77,77,44,A,45,4,144,0.1635,0.1918,0.186,0.0408
banking77,77,44,A,46,4,126,0.1393,0.1759,0.1714,0.0321
banking77,77,44,A,47,3,130,0.1417,0.172,0.1732,0.0296
banking77,77,44,A,48,4,132,0.1686,0.1961,0.2013,0.0281
banking77,77,44,A,49,5,102,0.1533,0.1934,0.1794,0.034
banking77,77,44,A,50,5,84,0.1117,0.1359,0.1249,0.0273
banking77,77,44,A,51,6,149,0.1744,0.2168,0.1957,0.0346
banking77,77,44,A,52,5,150,0.1641,0.209,0.1819,0.0297
banking77,77,44,A,53,3,144,0.187,0.2286,0.2186,0.0308
banking77,77,44,A,54,4,119,0.1472,0.1838,0.1738,0.0369
banking77,77,44,A,55,4,97,0.1482,0.2071,0.1858,0.0315
banking77,77,44,A,56,4,102,0.1514,0.1742,0.1669,0.0349
banking77,77,44,A,57,4,98,0.1256,0.1602,0.1413,0.0292
banking77,77,44,A,58,3,105,0.1556,0.197,0.1907,0.0294
banking77,77,44,A,59,3,129,0.1535,0.1847,0.1832,0.0289
banking77,77,44,A,60,2,88,0.1636,0.1891,0.1759,0.0291
banking77,77,44,A,61,6,132,0.1307,0.1601,0.1585,0.0312
banking77,77,44,A,62,3,90,0.1416,0.1763,0.1855,0.0258
banking77,77,44,A,63,6,160,0.1621,0.215,0.2138,0.028
banking77,77,44,A,64,3,156,0.1435,0.1833,0.1898,0.0286
banking77,77,44,A,65,3,100,0.1446,0.1853,0.1728,0.0286
banking77,77,44,A,66,2,160,0.1873,0.2254,0.221,0.0252
banking77,77,44,A,67,4,116,0.1662,0.1988,0.2158,0.0311
banking77,77,44,A,68,3,92,0.1512,0.1845,0.1821,0.0262
banking77,77,44,A,69,3,94,0.1776,0.2075,0.2051,0.0284
banking77,77,44,A,70,3,99,0.1599,0.2038,0.205,0.0334
banking77,77,44,A,71,5,112,0.1085,0.1451,0.1442,0.0268
banking77,77,44,A,72,2,38,0.0805,0.1191,0.1249,0.0281
banking77,77,44,A,73,2,125,0.1568,0.1947,0.186,0.0316
banking77,77,44,A,74,4,108,0.1659,0.2082,0.1903,0.0277
banking77,77,44,A,75,2,167,0.1697,0.2161,0.1974,0.0277
banking77,77,44,A,76,2,152,0.1549,0.1851,0.1789,0.0287
banking77,77,44,B,0,3,145,0.0979,0.1462,0.1255,0.0348
banking77,77,44,B,1,3,100,0.089,0.1267,0.0957,0.0306
banking77,77,44,B,2,3,111,0.1026,0.1623,0.1317,0.029
banking77,77,44,B,3,3,78,0.1129,0.1378,0.1316,0.0234
banking77,77,44,B,4,3,117,0.0766,0.1173,0.096,0.0273
banking77,77,44,B,5,5,152,0.075,0.0969,0.0901,0.0239
banking77,77,44,B,6,3,164,0.0876,0.1155,0.1069,0.0313
banking77,77,44,B,7,1,146,0.0864,0.1124,0.1112,0.03
banking77,77,44,B,8,3,142,0.0822,0.1071,0.1117,0.023
banking77,77,44,B,9,1,118,0.0967,0.1297,0.1063,0.0272
banking77,77,44,B,10,3,49,0.0805,0.0959,0.0956,0.0283
banking77,77,44,B,11,6,133,0.0973,0.139,0.1291,0.0326
banking77,77,44,B,12,4,100,0.0962,0.1197,0.1156,0.0282
banking77,77,44,B,13,3,122,0.0954,0.1303,0.1222,0.029
banking77,77,44,B,14,5,100,0.0539,0.0877,0.0837,0.0289
banking77,77,44,B,15,4,172,0.0969,0.1248,0.1305,0.0276
banking77,77,44,B,16,4,152,0.0831,0.1132,0.108,0.031
banking77,77,44,B,17,5,153,0.0687,0.1093,0.0986,0.0254
banking77,77,44,B,18,4,52,0.0812,0.1134,0.0998,0.0272
banking77,77,44,B,19,4,159,0.0882,0.1301,0.1123,0.0302
banking77,77,44,B,20,5,143,0.0777,0.0998,0.0981,0.0313
banking77,77,44,B,21,5,106,0.064,0.1062,0.0874,0.0257
banking77,77,44,B,22,2,78,0.0654,0.0938,0.0864,0.0313
banking77,77,44,B,23,1,29,0.0703,0.0936,0.0917,0.0289
banking77,77,44,B,24,3,110,0.1007,0.1274,0.1305,0.0312
banking77,77,44,B,25,4,136,0.088,0.1239,0.1098,0.0302
banking77,77,44,B,26,6,149,0.0777,0.1163,0.0984,0.0314
banking77,77,44,B,27,3,127,0.0874,0.1321,0.1114,0.0313
banking77,77,44,B,28,1,174,0.0809,0.1181,0.0913,0.0341
banking77,77,44,B,29,5,110,0.0787,0.1079,0.0916,0.0334
banking77,77,44,B,30,3,109,0.0777,0.0958,0.0942,0.0251
banking77,77,44,B,31,3,113,0.0848,0.1155,0.1107,0.0277
banking77,77,44,B,32,6,95,0.0601,0.0909,0.0784,0.0335
banking77,77,44,B,33,4,106,0.0861,0.1309,0.0983,0.026
banking77,77,44,B,34,3,156,0.0904,0.1291,0.1151,0.0322
banking77,77,44,B,35,5,122,0.0797,0.1085,0.1089,0.0292
banking77,77,44,B,36,4,116,0.0595,0.1019,0.0923,0.03
banking77,77,44,B,37,3,86,0.0885,0.1173,0.1033,0.0199
banking77,77,44,B,38,4,95,0.0831,0.1124,0.1088,0.0303
banking77,77,44,B,39,5,115,0.0787,0.1014,0.0894,0.0285
banking77,77,44,B,40,4,84,0.0855,0.1155,0.1193,0.0262
banking77,77,44,B,41,2,75,0.0721,0.101,0.0919,0.0262
banking77,77,44,B,42,3,103,0.1069,0.137,0.1276,0.0263
banking77,77,44,B,43,5,106,0.072,0.114,0.098,0.0309
banking77,77,44,B,44,4,95,0.0806,0.1064,0.0962,0.0321
banking77,77,44,B,45,4,144,0.0933,0.1187,0.1132,0.0277
banking77,77,44,B,46,4,126,0.0913,0.1224,0.1154,0.0237
banking77,77,44,B,47,3,130,0.1011,0.1302,0.1248,0.0356
banking77,77,44,B,48,4,132,0.1001,0.1315,0.1312,0.0258
banking77,77,44,B,49,5,102,0.0893,0.124,0.1185,0.029
banking77,77,44,B,50,5,84,0.0553,0.0771,0.0755,0.0314
banking77,77,44,B,51,6,149,0.074,0.1102,0.1024,0.0319
banking77,77,44,B,52,5,150,0.0886,0.1326,0.1126,0.0312
banking77,77,44,B,53,3,144,0.079,0.1203,0.1122,0.0283
banking77,77,44,B,54,4,119,0.0994,0.1201,0.1295,0.0272
banking77,77,44,B,55,4,97,0.0922,0.1365,0.12,0.0259
banking77,77,44,B,56,4,102,0.0904,0.1145,0.1073,0.0285
banking77,77,44,B,57,4,98,0.075,0.0961,0.087,0.0286
banking77,77,44,B,58,3,105,0.0904,0.1251,0.119,0.0257
banking77,77,44,B,59,3,129,0.1146,0.1404,0.1433,0.0257
banking77,77,44,B,60,2,88,0.0923,0.1133,0.1024,0.0311
banking77,77,44,B,61,6,132,0.0856,0.1116,0.1076,0.024
banking77,77,44,B,62,3,90,0.1232,0.1538,0.1577,0.0284
banking77,77,44,B,63,6,160,0.0924,0.1312,0.135,0.0292
banking77,77,44,B,64,3,156,0.0885,0.1161,0.1215,0.0301
banking77,77,44,B,65,3,100,0.0938,0.1218,0.1091,0.029
banking77,77,44,B,66,2,160,0.1056,0.1399,0.1325,0.0283
banking77,77,44,B,67,4,116,0.0942,0.1184,0.1282,0.0232
banking77,77,44,B,68,3,92,0.065,0.091,0.088,0.0298
banking77,77,44,B,69,3,94,0.1065,0.1305,0.1257,0.0248
banking77,77,44,B,70,3,99,0.0765,0.104,0.1027,0.0284
banking77,77,44,B,71,5,112,0.1013,0.1258,0.1265,0.0282
banking77,77,44,B,72,2,38,0.1119,0.1423,0.1492,0.0253
banking77,77,44,B,73,2,125,0.0923,0.1232,0.1124,0.0296
banking77,77,44,B,74,4,108,0.0962,0.1236,0.1153,0.0314
banking77,77,44,B,75,2,167,0.1091,0.1504,0.1361,0.0245
banking77,77,44,B,76,2,152,0.0656,0.1009,0.0881,0.0271
