task,C,N,alpha,K,seed,mode,n,acc_mean,acc_min,acc_max,note
dbpedia_14,14,10,0.3,200,43,sel_gp_rarefill,10,0.9341,0.8614,0.974,picked B (E_B=0.9659 E_A=0.8808; true B=0.9341 A=0.8784)
dbpedia_14,14,10,0.3,200,44,current,1,0.9372,0.9372,0.9372,agg adapter + agg head
dbpedia_14,14,10,0.3,200,44,local,10,0.6623,0.4286,0.8258,own adapter + own head
dbpedia_14,14,10,0.3,200,44,B_personal,10,0.8891,0.8082,0.9588,own adapter + agg head
dbpedia_14,14,10,0.3,200,44,A_headonly,1,0.8702,0.8702,0.8702,"r=0, head only, federated"
dbpedia_14,14,10,0.3,200,44,sel_perclient,10,0.8891,0.8082,0.9588,"per-client vote (biased), 10/10 chose B"
dbpedia_14,14,10,0.3,200,44,sel_federated,10,0.8891,0.8082,0.9588,federation picked B (B=0.9830 A=0.8716)
dbpedia_14,14,10,0.3,200,44,sel_fed_balanced,10,0.8891,0.8082,0.9588,federation picked B (B=0.9485 A=0.8538)
dbpedia_14,14,10,0.3,200,44,sel_globalprior,10,0.8702,0.8702,0.8702,picked A (E_B=0.7905 E_A=0.8703; true B=0.8891 A=0.8702)
dbpedia_14,14,10,0.3,200,44,sel_gp_rarefill,10,0.8891,0.8082,0.9588,picked B (E_B=0.9322 E_A=0.8703; true B=0.8891 A=0.8702)
dbpedia_14,14,10,1.0,200,42,current,1,0.9844,0.9844,0.9844,agg adapter + agg head
dbpedia_14,14,10,1.0,200,42,local,10,0.9076,0.8378,0.9756,own adapter + own head
dbpedia_14,14,10,1.0,200,42,B_personal,10,0.9731,0.9632,0.9806,own adapter + agg head
dbpedia_14,14,10,1.0,200,42,A_headonly,1,0.8946,0.8946,0.8946,"r=0, head only, federated"
dbpedia_14,14,10,1.0,200,42,sel_perclient,10,0.9731,0.9632,0.9806,"per-client vote (biased), 10/10 chose B"
dbpedia_14,14,10,1.0,200,42,sel_federated,10,0.9731,0.9632,0.9806,federation picked B (B=0.9815 A=0.8954)
dbpedia_14,14,10,1.0,200,42,sel_fed_balanced,10,0.9731,0.9632,0.9806,federation picked B (B=0.9563 A=0.9015)
dbpedia_14,14,10,1.0,200,42,sel_globalprior,10,0.9731,0.9632,0.9806,picked B (E_B=0.9562 E_A=0.8978; true B=0.9731 A=0.8946)
dbpedia_14,14,10,1.0,200,42,sel_gp_rarefill,10,0.9731,0.9632,0.9806,picked B (E_B=0.9562 E_A=0.8978; true B=0.9731 A=0.8946)
dbpedia_14,14,10,1.0,200,43,current,1,0.9818,0.9818,0.9818,agg adapter + agg head
dbpedia_14,14,10,1.0,200,43,local,10,0.9423,0.8082,0.9814,own adapter + own head
dbpedia_14,14,10,1.0,200,43,B_personal,10,0.9737,0.9594,0.9826,own adapter + agg head
dbpedia_14,14,10,1.0,200,43,A_headonly,1,0.9166,0.9166,0.9166,"r=0, head only, federated"
dbpedia_14,14,10,1.0,200,43,sel_perclient,10,0.9737,0.9594,0.9826,"per-client vote (biased), 10/10 chose B"
dbpedia_14,14,10,1.0,200,43,sel_federated,10,0.9737,0.9594,0.9826,federation picked B (B=0.9840 A=0.9219)
dbpedia_14,14,10,1.0,200,43,sel_fed_balanced,10,0.9737,0.9594,0.9826,federation picked B (B=0.9723 A=0.9145)
dbpedia_14,14,10,1.0,200,43,sel_globalprior,10,0.9737,0.9594,0.9826,picked B (E_B=0.9723 E_A=0.9230; true B=0.9737 A=0.9166)
dbpedia_14,14,10,1.0,200,43,sel_gp_rarefill,10,0.9737,0.9594,0.9826,picked B (E_B=0.9723 E_A=0.9230; true B=0.9737 A=0.9166)
dbpedia_14,14,10,1.0,200,44,current,1,0.9708,0.9708,0.9708,agg adapter + agg head
dbpedia_14,14,10,1.0,200,44,local,10,0.9188,0.8376,0.9676,own adapter + own head
dbpedia_14,14,10,1.0,200,44,B_personal,10,0.9625,0.949,0.975,own adapter + agg head
dbpedia_14,14,10,1.0,200,44,A_headonly,1,0.9268,0.9268,0.9268,"r=0, head only, federated"
dbpedia_14,14,10,1.0,200,44,sel_perclient,10,0.9625,0.949,0.975,"per-client vote (biased), 10/10 chose B"
dbpedia_14,14,10,1.0,200,44,sel_federated,10,0.9625,0.949,0.975,federation picked B (B=0.9795 A=0.9320)
dbpedia_14,14,10,1.0,200,44,sel_fed_balanced,10,0.9625,0.949,0.975,federation picked B (B=0.9526 A=0.9331)
dbpedia_14,14,10,1.0,200,44,sel_globalprior,10,0.9625,0.949,0.975,picked B (E_B=0.9444 E_A=0.9322; true B=0.9625 A=0.9268)
dbpedia_14,14,10,1.0,200,44,sel_gp_rarefill,10,0.9625,0.949,0.975,picked B (E_B=0.9523 E_A=0.9322; true B=0.9625 A=0.9268)
dbpedia_14,14,10,0.1,100,42,current,1,0.8832,0.8832,0.8832,agg adapter + agg head
dbpedia_14,14,10,0.1,100,42,local,10,0.4014,0.1858,0.6524,own adapter + own head
