task,C,seed,access,eps,queries,fidelity,task_acc
banking77,77,44,label,inf,5000,0.214,0.1782
banking77,77,44,label,inf,20000,0.448,0.1782
banking77,77,44,label,inf,50000,0.6428,0.1782
banking77,77,44,label,inf,100000,0.7753,0.1782
banking77,77,44,label,8.0,1000,0.0839,0.1763
banking77,77,44,label,8.0,5000,0.199,0.1763
banking77,77,44,label,8.0,20000,0.3921,0.1763
banking77,77,44,label,8.0,50000,0.4149,0.1763
banking77,77,44,label,8.0,100000,0.7194,0.1763
banking77,77,44,label,4.0,1000,0.0382,0.0802
banking77,77,44,label,4.0,5000,0.0636,0.0802
banking77,77,44,label,4.0,20000,0.1026,0.0802
banking77,77,44,label,4.0,50000,0.2461,0.0802
banking77,77,44,label,4.0,100000,0.3654,0.0802
banking77,77,44,label,2.0,1000,0.0123,0.0253
banking77,77,44,label,2.0,5000,0.0194,0.0253
banking77,77,44,label,2.0,20000,0.0261,0.0253
banking77,77,44,label,2.0,50000,0.0385,0.0253
banking77,77,44,label,2.0,100000,0.0517,0.0253
banking77,77,44,label,1.0,1000,0.0123,0.0166
banking77,77,44,label,1.0,5000,0.0148,0.0166
banking77,77,44,label,1.0,20000,0.0153,0.0166
banking77,77,44,label,1.0,50000,0.0161,0.0166
banking77,77,44,label,1.0,100000,0.0212,0.0166
banking77,77,44,label,0.5,1000,0.0129,0.0185
banking77,77,44,label,0.5,5000,0.014,0.0185
banking77,77,44,label,0.5,20000,0.0121,0.0185
banking77,77,44,label,0.5,50000,0.0146,0.0185
banking77,77,44,label,0.5,100000,0.0166,0.0185
banking77,77,44,probs,inf,1000,1.0,0.1558
banking77,77,44,probs,inf,5000,1.0,0.1558
banking77,77,44,probs,inf,20000,1.0,0.1558
banking77,77,44,probs,inf,50000,1.0,0.1558
banking77,77,44,probs,inf,100000,1.0,0.1558
banking77,77,44,probs,8.0,1000,0.0137,0.012
banking77,77,44,probs,8.0,5000,0.014,0.012
banking77,77,44,probs,8.0,20000,0.0184,0.012
banking77,77,44,probs,8.0,50000,0.0194,0.012
banking77,77,44,probs,8.0,100000,0.0214,0.012
banking77,77,44,probs,4.0,1000,0.0124,0.0114
banking77,77,44,probs,4.0,5000,0.013,0.0114
banking77,77,44,probs,4.0,20000,0.0141,0.0114
banking77,77,44,probs,4.0,50000,0.0142,0.0114
banking77,77,44,probs,4.0,100000,0.0181,0.0114
banking77,77,44,probs,2.0,1000,0.0126,0.011
banking77,77,44,probs,2.0,5000,0.0122,0.011
banking77,77,44,probs,2.0,20000,0.0118,0.011
banking77,77,44,probs,2.0,50000,0.0157,0.011
banking77,77,44,probs,2.0,100000,0.0144,0.011
banking77,77,44,probs,1.0,1000,0.0132,0.0107
banking77,77,44,probs,1.0,5000,0.0122,0.0107
banking77,77,44,probs,1.0,20000,0.0141,0.0107
banking77,77,44,probs,1.0,50000,0.0143,0.0107
banking77,77,44,probs,1.0,100000,0.0118,0.0107
banking77,77,44,probs,0.5,1000,0.0124,0.0107
banking77,77,44,probs,0.5,5000,0.0115,0.0107
banking77,77,44,probs,0.5,20000,0.0135,0.0107
banking77,77,44,probs,0.5,50000,0.0111,0.0107
banking77,77,44,probs,0.5,100000,0.0134,0.0107
