task,C,seed,access,eps,queries,fidelity,task_acc
ag_news,4,43,probs,8.0,100000,0.4173,0.277
ag_news,4,43,probs,4.0,1000,0.2607,0.2666
ag_news,4,43,probs,4.0,5000,0.2728,0.2666
ag_news,4,43,probs,4.0,20000,0.2851,0.2666
ag_news,4,43,probs,4.0,50000,0.32,0.2666
ag_news,4,43,probs,4.0,100000,0.3402,0.2666
ag_news,4,43,probs,2.0,1000,0.2442,0.2626
ag_news,4,43,probs,2.0,5000,0.2663,0.2626
ag_news,4,43,probs,2.0,20000,0.2648,0.2626
ag_news,4,43,probs,2.0,50000,0.2799,0.2626
ag_news,4,43,probs,2.0,100000,0.2913,0.2626
ag_news,4,43,probs,1.0,1000,0.2563,0.259
ag_news,4,43,probs,1.0,5000,0.2613,0.259
ag_news,4,43,probs,1.0,20000,0.2682,0.259
ag_news,4,43,probs,1.0,50000,0.262,0.259
ag_news,4,43,probs,1.0,100000,0.2761,0.259
ag_news,4,43,probs,0.5,1000,0.2469,0.257
ag_news,4,43,probs,0.5,5000,0.2303,0.257
ag_news,4,43,probs,0.5,20000,0.2535,0.257
ag_news,4,43,probs,0.5,50000,0.2664,0.257
ag_news,4,43,probs,0.5,100000,0.2487,0.257
ag_news,4,44,label,inf,1000,0.5612,0.4018
ag_news,4,44,label,inf,5000,0.8146,0.4018
ag_news,4,44,label,inf,20000,0.95,0.4018
ag_news,4,44,label,inf,50000,0.9781,0.4018
ag_news,4,44,label,inf,100000,0.9895,0.4018
ag_news,4,44,label,8.0,1000,0.548,0.4022
ag_news,4,44,label,8.0,5000,0.8023,0.4022
ag_news,4,44,label,8.0,20000,0.9265,0.4022
ag_news,4,44,label,8.0,50000,0.9743,0.4022
ag_news,4,44,label,8.0,100000,0.9863,0.4022
ag_news,4,44,label,4.0,1000,0.5179,0.3916
ag_news,4,44,label,4.0,5000,0.6997,0.3916
ag_news,4,44,label,4.0,20000,0.8942,0.3916
ag_news,4,44,label,4.0,50000,0.9373,0.3916
ag_news,4,44,label,4.0,100000,0.953,0.3916
ag_news,4,44,label,2.0,1000,0.4064,0.3446
ag_news,4,44,label,2.0,5000,0.5962,0.3446
ag_news,4,44,label,2.0,20000,0.7735,0.3446
ag_news,4,44,label,2.0,50000,0.8539,0.3446
ag_news,4,44,label,2.0,100000,0.8867,0.3446
ag_news,4,44,label,1.0,1000,0.3248,0.2978
ag_news,4,44,label,1.0,5000,0.4138,0.2978
ag_news,4,44,label,1.0,20000,0.5951,0.2978
ag_news,4,44,label,1.0,50000,0.7115,0.2978
ag_news,4,44,label,1.0,100000,0.7741,0.2978
ag_news,4,44,label,0.5,1000,0.2878,0.2626
ag_news,4,44,label,0.5,5000,0.3237,0.2626
ag_news,4,44,label,0.5,20000,0.425,0.2626
ag_news,4,44,label,0.5,50000,0.5184,0.2626
ag_news,4,44,label,0.5,100000,0.6089,0.2626
ag_news,4,44,probs,inf,1000,1.0,0.4018
ag_news,4,44,probs,inf,5000,1.0,0.4018
ag_news,4,44,probs,inf,20000,1.0,0.4018
ag_news,4,44,probs,inf,50000,1.0,0.4018
ag_news,4,44,probs,inf,100000,1.0,0.4018
ag_news,4,44,probs,8.0,1000,0.253,0.2514
ag_news,4,44,probs,8.0,5000,0.3197,0.2514
ag_news,4,44,probs,8.0,20000,0.3548,0.2514
ag_news,4,44,probs,8.0,50000,0.4341,0.2514
ag_news,4,44,probs,8.0,100000,0.5311,0.2514
ag_news,4,44,probs,4.0,1000,0.2648,0.241
ag_news,4,44,probs,4.0,5000,0.271,0.241
ag_news,4,44,probs,4.0,20000,0.308,0.241
ag_news,4,44,probs,4.0,50000,0.3378,0.241
ag_news,4,44,probs,4.0,100000,0.3885,0.241
ag_news,4,44,probs,2.0,1000,0.2543,0.2354
ag_news,4,44,probs,2.0,5000,0.2588,0.2354
ag_news,4,44,probs,2.0,20000,0.2707,0.2354
ag_news,4,44,probs,2.0,50000,0.2836,0.2354
ag_news,4,44,probs,2.0,100000,0.309,0.2354
ag_news,4,44,probs,1.0,1000,0.2328,0.2342
ag_news,4,44,probs,1.0,5000,0.2431,0.2342
ag_news,4,44,probs,1.0,20000,0.2677,0.2342
ag_news,4,44,probs,1.0,50000,0.2713,0.2342
ag_news,4,44,probs,1.0,100000,0.2756,0.2342
ag_news,4,44,probs,0.5,1000,0.2482,0.234
ag_news,4,44,probs,0.5,5000,0.2462,0.234
ag_news,4,44,probs,0.5,20000,0.2507,0.234
ag_news,4,44,probs,0.5,50000,0.2663,0.234
ag_news,4,44,probs,0.5,100000,0.2599,0.234
dbpedia_14,14,42,label,inf,1000,0.2485,0.8026
dbpedia_14,14,42,label,inf,5000,0.514,0.8026
dbpedia_14,14,42,label,inf,20000,0.8007,0.8026
dbpedia_14,14,42,label,inf,50000,0.91,0.8026
dbpedia_14,14,42,label,inf,100000,0.9545,0.8026
dbpedia_14,14,42,label,8.0,1000,0.2514,0.7996
dbpedia_14,14,42,label,8.0,5000,0.5079,0.7996
