task,C,d,seed,arrangement,strategy,queries,fidelity,majority
ag_news,4,768,44,A,random,200000,0.9909,0.6614
ag_news,4,768,44,A,boundary,200,0.6601,0.6614
ag_news,4,768,44,A,boundary,500,0.6039,0.6614
ag_news,4,768,44,A,boundary,1000,0.6574,0.6614
ag_news,4,768,44,A,boundary,2000,0.6677,0.6614
ag_news,4,768,44,A,boundary,5000,0.7355,0.6614
ag_news,4,768,44,A,boundary,10000,0.8309,0.6614
ag_news,4,768,44,A,boundary,20000,0.9217,0.6614
ag_news,4,768,44,A,boundary,50000,0.9811,0.6614
ag_news,4,768,44,A,boundary,100000,0.9928,0.6614
ag_news,4,768,44,A,boundary,200000,0.9965,0.6614
ag_news,4,768,44,B,disclosed,0,1.0,0.4844
ag_news,4,768,44,B,logits,769,1.0,0.4844
ag_news,4,768,44,B,random,200,0.4945,0.4844
ag_news,4,768,44,B,random,500,0.5366,0.4844
ag_news,4,768,44,B,random,1000,0.6036,0.4844
ag_news,4,768,44,B,random,2000,0.6913,0.4844
ag_news,4,768,44,B,random,5000,0.816,0.4844
ag_news,4,768,44,B,random,10000,0.8881,0.4844
ag_news,4,768,44,B,random,20000,0.9354,0.4844
ag_news,4,768,44,B,random,50000,0.9722,0.4844
ag_news,4,768,44,B,random,100000,0.9871,0.4844
ag_news,4,768,44,B,random,200000,0.9935,0.4844
ag_news,4,768,44,B,boundary,200,0.4209,0.4844
ag_news,4,768,44,B,boundary,500,0.4691,0.4844
ag_news,4,768,44,B,boundary,1000,0.522,0.4844
ag_news,4,768,44,B,boundary,2000,0.5838,0.4844
ag_news,4,768,44,B,boundary,5000,0.7298,0.4844
ag_news,4,768,44,B,boundary,10000,0.8338,0.4844
ag_news,4,768,44,B,boundary,20000,0.9174,0.4844
ag_news,4,768,44,B,boundary,50000,0.979,0.4844
ag_news,4,768,44,B,boundary,100000,0.9976,0.4844
ag_news,4,768,44,B,boundary,200000,0.999,0.4844
dbpedia_14,14,768,42,A,disclosed,0,1.0,0.2267
dbpedia_14,14,768,42,A,logits,769,1.0,0.2267
dbpedia_14,14,768,42,A,random,200,0.2557,0.2267
dbpedia_14,14,768,42,A,random,500,0.2981,0.2267
dbpedia_14,14,768,42,A,random,1000,0.3582,0.2267
dbpedia_14,14,768,42,A,random,2000,0.4279,0.2267
dbpedia_14,14,768,42,A,random,5000,0.575,0.2267
dbpedia_14,14,768,42,A,random,10000,0.6824,0.2267
dbpedia_14,14,768,42,A,random,20000,0.7742,0.2267
dbpedia_14,14,768,42,A,random,50000,0.8981,0.2267
dbpedia_14,14,768,42,A,random,100000,0.9544,0.2267
dbpedia_14,14,768,42,A,random,200000,0.9757,0.2267
dbpedia_14,14,768,42,A,boundary,200,0.1317,0.2267
dbpedia_14,14,768,42,A,boundary,500,0.213,0.2267
dbpedia_14,14,768,42,A,boundary,1000,0.2647,0.2267
dbpedia_14,14,768,42,A,boundary,2000,0.3322,0.2267
dbpedia_14,14,768,42,A,boundary,5000,0.4718,0.2267
dbpedia_14,14,768,42,A,boundary,10000,0.5861,0.2267
dbpedia_14,14,768,42,A,boundary,20000,0.7084,0.2267
dbpedia_14,14,768,42,A,boundary,50000,0.8515,0.2267
dbpedia_14,14,768,42,A,boundary,100000,0.9264,0.2267
dbpedia_14,14,768,42,A,boundary,200000,0.9582,0.2267
dbpedia_14,14,768,42,B,disclosed,0,1.0,0.3118
dbpedia_14,14,768,42,B,logits,769,1.0,0.3118
dbpedia_14,14,768,42,B,random,200,0.3236,0.3118
dbpedia_14,14,768,42,B,random,500,0.3795,0.3118
dbpedia_14,14,768,42,B,random,1000,0.4446,0.3118
dbpedia_14,14,768,42,B,random,2000,0.5295,0.3118
dbpedia_14,14,768,42,B,random,5000,0.6611,0.3118
dbpedia_14,14,768,42,B,random,10000,0.7504,0.3118
dbpedia_14,14,768,42,B,random,20000,0.8178,0.3118
dbpedia_14,14,768,42,B,random,50000,0.9041,0.3118
dbpedia_14,14,768,42,B,random,100000,0.9463,0.3118
dbpedia_14,14,768,42,B,random,200000,0.9698,0.3118
dbpedia_14,14,768,42,B,boundary,200,0.2495,0.3118
