section,setup,backbone,alpha,probe_size,method,acc_mean,acc_std,n_seeds
A,mnist_mlp,MLP,1.0,500.0,warmup_only_labelled,0.804,0.0132,3
B,cifar10_resnet18,resnet18,0.05,,dp_avg_eps2_K20,0.196,0.0348,3
B,cifar10_resnet18,resnet18,0.05,,dp_avg_eps8_K20,0.2055,0.0349,3
B,cifar10_resnet18,resnet18,0.05,,labelled_probe_warmup,0.2083,0.0315,3
B,cifar10_resnet18,resnet18,0.05,,no_phase0,0.1871,0.0337,3
B,cifar10_resnet18,resnet18,0.05,,raw_union_K20,0.5661,0.0479,3
B,cifar10_resnet18,resnet18,0.1,,dp_avg_eps2_K20,0.3823,0.092,3
B,cifar10_resnet18,resnet18,0.1,,dp_avg_eps8_K20,0.3932,0.0959,3
B,cifar10_resnet18,resnet18,0.1,,labelled_probe_warmup,0.3936,0.0925,3
B,cifar10_resnet18,resnet18,0.1,,no_phase0,0.3642,0.079,3
B,cifar10_resnet18,resnet18,0.1,,raw_union_K20,0.6534,0.0588,3
B,cifar10_resnet18,resnet18,0.3,,dp_avg_eps2_K20,0.6314,0.0402,3
B,cifar10_resnet18,resnet18,0.3,,dp_avg_eps8_K20,0.6371,0.0406,3
B,cifar10_resnet18,resnet18,0.3,,labelled_probe_warmup,0.6346,0.0429,3
B,cifar10_resnet18,resnet18,0.3,,no_phase0,0.6187,0.0459,3
B,cifar10_resnet18,resnet18,0.3,,raw_union_K20,0.782,0.0201,3
B,cifar10_resnet18,resnet18,1.0,,dp_avg_eps2_K20,0.7927,0.0087,3
B,cifar10_resnet18,resnet18,1.0,,dp_avg_eps8_K20,0.7938,0.0079,3
B,cifar10_resnet18,resnet18,1.0,,labelled_probe_warmup,0.794,0.0079,3
B,cifar10_resnet18,resnet18,1.0,,no_phase0,0.7916,0.0071,3
B,cifar10_resnet18,resnet18,1.0,,raw_union_K20,0.8358,0.0026,3
B,cifar10_vit_b32,vit_b32,0.05,,dp_avg_eps2_K20,0.6944,0.038,3
