backbone,N,alpha,method,seed,lambda,acc
vit_b32_cifar100,10,0.05,raw_union_K20,42,0.75,0.7896
vit_b32_cifar100,10,0.05,raw_union_K20,42,1.0,0.7709
vit_b32_cifar100,10,0.05,raw_union_K20,42,1.25,0.7523
vit_b32_cifar100,10,0.05,raw_union_K20,42,1.5,0.7214
vit_b32_cifar100,10,0.05,raw_union_K20,42,1.75,0.6904
vit_b32_cifar100,10,0.05,raw_union_K20,42,2.0,0.6502
vit_b32_cifar100,10,0.05,raw_union_K20,43,0.0,0.7989
vit_b32_cifar100,10,0.05,raw_union_K20,43,0.25,0.796
vit_b32_cifar100,10,0.05,raw_union_K20,43,0.5,0.7858
vit_b32_cifar100,10,0.05,raw_union_K20,43,0.75,0.7738
vit_b32_cifar100,10,0.05,raw_union_K20,43,1.0,0.7552
vit_b32_cifar100,10,0.05,raw_union_K20,43,1.25,0.7329
vit_b32_cifar100,10,0.05,raw_union_K20,43,1.5,0.7039
vit_b32_cifar100,10,0.05,raw_union_K20,43,1.75,0.6653
vit_b32_cifar100,10,0.05,raw_union_K20,43,2.0,0.614
vit_b32_cifar100,10,0.05,raw_union_K20,44,0.0,0.8072
vit_b32_cifar100,10,0.05,raw_union_K20,44,0.25,0.8107
vit_b32_cifar100,10,0.05,raw_union_K20,44,0.5,0.8071
vit_b32_cifar100,10,0.05,raw_union_K20,44,0.75,0.7983
vit_b32_cifar100,10,0.05,raw_union_K20,44,1.0,0.7855
vit_b32_cifar100,10,0.05,raw_union_K20,44,1.25,0.7678
vit_b32_cifar100,10,0.05,raw_union_K20,44,1.5,0.747
vit_b32_cifar100,10,0.05,raw_union_K20,44,1.75,0.724
vit_b32_cifar100,10,0.05,raw_union_K20,44,2.0,0.7007
vit_b32_cifar100,10,0.3,raw_union_K20,42,0.0,0.8452
vit_b32_cifar100,10,0.3,raw_union_K20,42,0.25,0.8447
vit_b32_cifar100,10,0.3,raw_union_K20,42,0.5,0.8446
vit_b32_cifar100,10,0.3,raw_union_K20,42,0.75,0.8411
vit_b32_cifar100,10,0.3,raw_union_K20,42,1.0,0.8372
vit_b32_cifar100,10,0.3,raw_union_K20,42,1.25,0.8277
vit_b32_cifar100,10,0.3,raw_union_K20,42,1.5,0.8144
vit_b32_cifar100,10,0.3,raw_union_K20,42,1.75,0.8027
vit_b32_cifar100,10,0.3,raw_union_K20,42,2.0,0.7871
vit_b32_cifar100,10,0.3,raw_union_K20,43,0.0,0.8389
vit_b32_cifar100,10,0.3,raw_union_K20,43,0.25,0.8437
