backbone,dataset,N,alpha,seed,K,tau,method,phase0_kind,probe_size_actual,sigma,acc,mean_teacher,best_teacher,oracle,theta0_acc,m3_mean_gap,m3_clients_helped,m3_clients_evaluated,m3_gap,m3_student_acc_on_Di,m3_teacher_acc_on_Di,m4_mean,m4_clients_evaluated,m4_ood_acc,wall_clock_sec,phase_teacher_sec,phase_phase0_sec,phase_distill_sec,phase_aggregate_sec,phase_eval_sec,job_id,node,status,error
cnn5_cifar10,CIFAR10,16,0.05,42,300,4.0,no_phase0,none,0,0.0,0.1016,0.14936875,0.2664,0.7742,0.0839,-0.8123098903579908,0,16,"[-0.9940968122786304, -0.7522219229733369, -0.9438009438009438, -0.9994689325544344, -0.9858906525573192, 0.0, 0.0, -0.9773462783171522, -0.9977713394250056, -0.9959131545338442, -0.9996843434343434, -0.9930250581245156, -0.8821171918186843, -0.9955500618046972, -0.5178571428571428, -0.9622144112478032]","[0.0008854781582054309, 0.24777807702666307, 0.05105105105105105, 0.0001770224818551956, 0.0, 1.0, 0.9935135135135135, 0.003236245954692557, 0.0, 0.0, 0.0003156565656565657, 0.0, 0.11788280818131565, 0.004449938195302843, 0.4, 0.0008787346221441124]","[0.9949822904368358, 1.0, 0.9948519948519948, 0.9996459550362896, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 1.0, 0.9930250581245156, 1.0, 1.0, 0.9178571428571428, 0.9630931458699473]",0.06051051587301586,16,"[0.0032, 0.002285714285714286, 0.002285714285714286, 0.0026666666666666666, 0.127, 0.0017777777777777779, 0.0026666666666666666, 0.002285714285714286, 0.16933333333333334, 0.14514285714285713, 0.14285714285714285, 0.2, 0.0, 0.16666666666666666, 0.0, 0.0]",301.8906419277191,277.0275971889496,0.12260985374450684,14.445840835571289,0.008414268493652344,2.593787908554077,1115604,ai08,success,
cnn5_cifar10,CIFAR10,16,0.05,42,300,4.0,raw_union_K20,raw_union,699,0.0,0.2058,0.14952500000000002,0.2665,0.7823,0.2374,-0.7553989691155022,0,16,"[-0.9808146399055491, -0.7780770266630757, -0.6211926211926211, -0.9180385909010444, -0.9858906525573192, -0.11250000000000004, -0.10756756756756747, -0.9773462783171522, -0.9886338310675284, -0.9959131545338442, -0.7064393939393939, -0.9930250581245156, -0.48341625207296846, -0.9616810877626699, -0.5285714285714285, -0.9472759226713533]","[0.013872491145218418, 0.22192297333692432, 0.3736593736593737, 0.08160736413524518, 0.0, 0.8875, 0.885945945945946, 0.003236245954692557, 0.009137508357477156, 0.0, 0.2935606060606061, 0.0, 0.5165837479270315, 0.038318912237330034, 0.3892857142857143, 0.015817223198594025]","[0.9946871310507674, 1.0, 0.9948519948519948, 0.9996459550362896, 0.9858906525573192, 1.0, 0.9935135135135135, 0.9805825242718447, 0.9977713394250056, 0.9959131545338442, 1.0, 0.9930250581245156, 1.0, 1.0, 0.9178571428571428, 0.9630931458699473]",0.17022299107142858,16,"[0.0866, 0.1637142857142857, 0.11128571428571428, 0.07316666666666667, 0.212125, 0.12733333333333333, 0.191, 0.1637142857142857, 0.22416666666666665, 0.29314285714285715, 0.2312857142857143, 0.3972, 0.0, 0.2708333333333333, 0.178, 0.0]",297.3883445262909,279.4148018360138,0.4686849117279053,14.326610803604126,0.00833892822265625,2.5707790851593018,1115604,ai08,success,
cnn5_cifar10,CIFAR10,16,1.0,42,300,4.0,no_phase0,none,0,0.0,0.3665,0.4785125,0.53,0.779,0.0839,-0.6298892101414298,0,16,"[-0.5921726408193124, -0.6971962616822429, -0.6099937146448775, -0.5543985637342909, -0.6471816283924843, -0.6681388012618297, -0.7026342451874367, -0.5517061734826778, -0.7161586365126188, -0.6856377636424507, -0.5957224830464267, -0.6516739939127494, -0.5604729729729729, -0.5768270944741534, -0.6311092222694432, -0.6372031662269129]","[0.40782735918068763, 0.30280373831775703, 0.39000628535512255, 0.44560143626570914, 0.35281837160751567, 0.3318611987381703, 0.29736575481256333, 0.44829382651732225, 0.2838413634873812, 0.3143622363575494, 0.4042775169535733, 0.3483260060872506, 0.439527027027027, 0.4231729055258467, 0.36889077773055673, 0.3627968337730871]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,0,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",295.80911564826965,279.1597709655762,0.12154126167297363,14.407361268997192,0.00843048095703125,1.5113534927368164,1115604,ai08,success,
cnn5_cifar10,CIFAR10,16,1.0,42,300,4.0,raw_union_K20,raw_union,3127,0.0,0.5071,0.4777125,0.5295,0.7827,0.485,-0.48492548501846283,0,16,"[-0.4813460131675201, -0.47538940809968844, -0.5012570710245129, -0.47037701974865354, -0.4947807933194155, -0.5416403785488959, -0.5585950692333671, -0.4271945819223756, -0.5630940675188463, -0.4680281218613994, -0.4454877412623891, -0.49509638146770374, -0.4760135135135135, -0.4089126559714795, -0.4819379515512112, -0.4696569920844327]","[0.5186539868324799, 0.5246105919003116, 0.4987429289754871, 0.5296229802513465, 0.5052192066805845, 0.4583596214511041, 0.4414049307666329, 0.5728054180776244, 0.4369059324811537, 0.5319718781386006, 0.5545122587376109, 0.5049036185322963, 0.5239864864864865, 0.5910873440285205, 0.5180620484487888, 0.5303430079155673]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,0,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",296.7190008163452,279.0480773448944,1.2907116413116455,14.296707153320312,0.008415937423706055,1.4754583835601807,1115604,ai08,success,
lenet_fmnist,FashionMNIST,16,0.05,42,300,4.0,no_phase0,none,0,0.0,0.2796,0.22847499999999998,0.555,0.8857,0.1,-0.5773709030816399,0,16,"[-0.5488237490664676, -0.8204081632653062, -0.9855072463768116, -0.3333333333333333, -0.7151709892127611, -0.7808458580915764, -0.2862595419847329, -0.3335308056872037, -0.9994688385269122, -0.02083333333333337, -0.05776444111027757, -0.8672417026064129, -0.208984375, -0.4254814033236613, -0.9913394919168591, -0.8629411764705882]","[0.4457617625093353, 0.08979591836734693, 0.0, 0.07936507936507936, 0.26761533165021806, 0.13736455784690668, 0.6851145038167938, 0.6658767772511849, 0.00017705382436260624, 0.9791666666666666, 0.0, 0.12488280517532346, 0.7859375, 0.47560010551305726, 0.0036566589684372593, 0.12661764705882353]","[0.9945855115758029, 0.9102040816326531, 0.9855072463768116, 0.4126984126984127, 0.9827863208629791, 0.9182104159384831, 0.9713740458015268, 0.9994075829383886, 0.9996458923512748, 1.0, 0.05776444111027757, 0.9921245077817363, 0.994921875, 0.9010815088367186, 0.9949961508852964, 0.9895588235294117]",0.1861127728174603,16,"[0.0, 0.2275, 0.349125, 0.3283333333333333, 0.0006, 0.1952, 0.1958, 0.2814285714285714, 0.25742857142857145, 0.20055555555555554, 0.3495, 0.0, 0.3278333333333333, 0.0015, 0.26, 0.003]",109.33306384086609,48.70832180976868,0.038390398025512695,23.18404507637024,0.004088163375854492,0.776045560836792,1113571,ai05,success,
lenet_fmnist,FashionMNIST,16,0.05,42,300,4.0,raw_union_K20,raw_union,985,0.0,0.6741,0.23354999999999998,0.5892,0.8853,0.6673,-0.2820695553894039,1,16,"[-0.08308439133681855, -0.06938775510204087, -0.9710144927536233, 0.38095238095238093, -0.19451457424833607, -0.5707794477455436, -0.03244274809160308, -0.07997630331753558, -0.32560198300283283, -0.04166666666666663, -0.714178544636159, -0.15525970373148323, -0.041796874999999956, -0.22052228963334208, -0.9913394919168591, -0.4025000000000001]","[0.914488424197162, 0.8408163265306122, 0.014492753623188406, 0.7936507936507936, 0.792862061051182, 0.352673890248165, 0.9389312977099237, 0.919431279620853, 0.6740439093484419, 0.9583333333333334, 0.2280570142535634, 0.8394899681230077, 0.953125, 0.6962542864679504, 0.0036566589684372593, 0.5864705882352941]","[0.9975728155339806, 0.9102040816326531, 0.9855072463768116, 0.4126984126984127, 0.987376635299518, 0.9234533379937085, 0.9713740458015268, 0.9994075829383886, 0.9996458923512748, 1.0, 0.9422355588897224, 0.9947496718544909, 0.994921875, 0.9167765761012925, 0.9949961508852964, 0.9889705882352942]",0.6471743303571428,16,"[0.4985, 0.6215, 0.735, 0.6063333333333333, 0.5652, 0.7516, 0.5344, 0.6164285714285714, 0.6082857142857143, 0.6416666666666667, 0.736375, 0.4205, 0.6015, 0.7585, 0.798, 0.861]",74.33271288871765,48.99966883659363,0.4288361072540283,23.84663200378418,0.0034666061401367188,0.7417161464691162,1113571,ai05,success,
lenet_fmnist,FashionMNIST,16,1.0,42,300,4.0,no_phase0,none,0,0.0,0.6287,0.68645625,0.7671,0.8876,0.1,-0.2246471674270603,0,16,"[-0.16593101193395465, -0.16063426404688042, -0.18657765284609973, -0.20218163368848308, -0.21540908287683336, -0.2682926829268293, -0.24638443334209836, -0.3019571295433364, -0.26518063028439665, -0.260831700413673, -0.2854842420059811, -0.1881513987931981, -0.31289936102236426, -0.16219512195121955, -0.21010147601476015, -0.16214285714285714]","[0.7588687264999182, 0.7394002068252327, 0.6932536893886156, 0.6889903602232369, 0.6790952465099841, 0.6312427409988386, 0.6110965027609782, 0.5333954644299472, 0.5845503458877787, 0.6037448290877422, 0.5642972164711295, 0.609983543609435, 0.582867412140575, 0.7365853658536585, 0.6063191881918819, 0.6692857142857143]","[0.9247997384338729, 0.9000344708721131, 0.8798313422347154, 0.89117199391172, 0.8945043293868175, 0.8995354239256679, 0.8574809361030765, 0.8353525939732837, 0.8497309761721753, 0.8645765295014152, 0.8497814584771106, 0.798134942402633, 0.8957667731629393, 0.8987804878048781, 0.816420664206642, 0.8314285714285714]",,0,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",70.09328413009644,44.4421865940094,0.0257720947265625,24.755534172058105,0.0032432079315185547,0.5801069736480713,1113571,ai05,success,
lenet_fmnist,FashionMNIST,16,1.0,42,300,4.0,raw_union_K20,raw_union,3132,0.0,0.8058,0.69616875,0.7727,0.8822,0.782,-0.05497687478601969,2,16,"[-0.04904364884747425, -0.01206480523957254, -0.0014054813773717312, -0.03627600202942671, -0.06220180243859341, -0.06736353077816493, -0.06547462529581916, -0.13699906803355089, -0.08685626441199079, -0.07337252340518174, -0.08005521048999309, 0.009325287986834963, -0.10922523961661335, -0.05325203252032518, -0.058579335793357945, 0.003214285714285725]","[0.8840935098904692, 0.8896932092381937, 0.8615600843288826, 0.8432267884322678, 0.8434352359074041, 0.8403019744483159, 0.7972653168551144, 0.7235166200683442, 0.782859338970023, 0.7942521227955585, 0.7791580400276052, 0.814042786615469, 0.7835463258785943, 0.8508130081300813, 0.7626845018450185, 0.8332142857142857]","[0.9331371587379435, 0.9017580144777663, 0.8629655657062544, 0.8795027904616946, 0.9056370383459975, 0.9076655052264808, 0.8627399421509335, 0.860515688101895, 0.8697156033820138, 0.8676246462007402, 0.8592132505175983, 0.8047174986286341, 0.8927715654952076, 0.9040650406504065, 0.8212638376383764, 0.83]",,0,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",80.43589043617249,53.46149682998657,1.0527360439300537,25.212103843688965,0.0035185813903808594,0.42038631439208984,1113571,ai05,success,
