combine,basin,N,alpha,seed,he_depth,theta0_acc,final_acc,vs_weight_avg,vs_centralized
sign_majority,no-probe,5,1.0,42,deep,0.1181,0.8497,0.0297,-0.0045
norm_normalized,no-probe,5,1.0,42,deep,0.1181,0.822,0.002,-0.0322
agreement_gated,no-probe,5,1.0,42,deep,0.1181,0.7878,-0.0322,-0.0665
second_moment,no-probe,5,1.0,42,deep,0.1181,0.7135,-0.1065,-0.1407
coord_trimmed_mean,no-probe,5,1.0,42,deep,0.1181,0.847,0.027,-0.0073
consensus_proj,no-probe,5,1.0,42,deep,0.1181,0.82,0.0,-0.0343
poly_gate_d2_a,no-probe,5,1.0,42,depth-2,0.1181,0.65,-0.17,-0.2043
poly_gate_d2_b,no-probe,5,1.0,42,depth-2,0.1181,0.798,-0.022,-0.0563
sync_sgd,no-probe,5,1.0,42,deep(multi-round),0.1181,0.8848,0.0648,0.0305
centralized,no-probe,5,1.0,42,n/a(pooled),0.1181,0.8543,0.0343,0.0
weight_avg,no-probe,5,1.0,123,depth-1,0.1016,0.8783,0.0,0.0195
mag_weighted,no-probe,5,1.0,123,depth-1,0.1016,0.8783,0.0,0.0195
sign_majority,no-probe,5,1.0,123,deep,0.1016,0.8798,0.0015,0.021
norm_normalized,no-probe,5,1.0,123,deep,0.1016,0.8788,0.0005,0.02
agreement_gated,no-probe,5,1.0,123,deep,0.1016,0.872,-0.0063,0.0132
second_moment,no-probe,5,1.0,123,deep,0.1016,0.6475,-0.2308,-0.2113
coord_trimmed_mean,no-probe,5,1.0,123,deep,0.1016,0.8805,0.0023,0.0218
consensus_proj,no-probe,5,1.0,123,deep,0.1016,0.8783,0.0,0.0195
poly_gate_d2_a,no-probe,5,1.0,123,depth-2,0.1016,0.6068,-0.2715,-0.252
poly_gate_d2_b,no-probe,5,1.0,123,depth-2,0.1016,0.8712,-0.007,0.0125
sync_sgd,no-probe,5,1.0,123,deep(multi-round),0.1016,0.8817,0.0035,0.023
centralized,no-probe,5,1.0,123,n/a(pooled),0.1016,0.8587,-0.0195,0.0
weight_avg,no-probe,10,0.05,42,depth-1,0.1181,0.5655,0.0,-0.3032
mag_weighted,no-probe,10,0.05,42,depth-1,0.1181,0.5863,0.0207,-0.2825
sign_majority,no-probe,10,0.05,42,deep,0.1181,0.3758,-0.1898,-0.493
norm_normalized,no-probe,10,0.05,42,deep,0.1181,0.5347,-0.0308,-0.334
agreement_gated,no-probe,10,0.05,42,deep,0.1181,0.4908,-0.0748,-0.378
second_moment,no-probe,10,0.05,42,deep,0.1181,0.469,-0.0965,-0.3997
coord_trimmed_mean,no-probe,10,0.05,42,deep,0.1181,0.4423,-0.1233,-0.4265
consensus_proj,no-probe,10,0.05,42,deep,0.1181,0.5655,0.0,-0.3032
poly_gate_d2_a,no-probe,10,0.05,42,depth-2,0.1181,0.5945,0.029,-0.2742
poly_gate_d2_b,no-probe,10,0.05,42,depth-2,0.1181,0.5867,0.0212,-0.282
sync_sgd,no-probe,10,0.05,42,deep(multi-round),0.1181,0.8873,0.3217,0.0185
centralized,no-probe,10,0.05,42,n/a(pooled),0.1181,0.8687,0.3032,0.0
weight_avg,no-probe,10,0.05,123,depth-1,0.1016,0.6062,0.0,-0.2573
mag_weighted,no-probe,10,0.05,123,depth-1,0.1016,0.6258,0.0195,-0.2377
sign_majority,no-probe,10,0.05,123,deep,0.1016,0.405,-0.2012,-0.4585
norm_normalized,no-probe,10,0.05,123,deep,0.1016,0.5368,-0.0695,-0.3267
agreement_gated,no-probe,10,0.05,123,deep,0.1016,0.4615,-0.1447,-0.402
second_moment,no-probe,10,0.05,123,deep,0.1016,0.4885,-0.1177,-0.375
coord_trimmed_mean,no-probe,10,0.05,123,deep,0.1016,0.506,-0.1003,-0.3575
consensus_proj,no-probe,10,0.05,123,deep,0.1016,0.6062,0.0,-0.2573
poly_gate_d2_a,no-probe,10,0.05,123,depth-2,0.1016,0.5225,-0.0838,-0.341
poly_gate_d2_b,no-probe,10,0.05,123,depth-2,0.1016,0.56,-0.0462,-0.3035
sync_sgd,no-probe,10,0.05,123,deep(multi-round),0.1016,0.886,0.2797,0.0225
centralized,no-probe,10,0.05,123,n/a(pooled),0.1016,0.8635,0.2573,0.0
weight_avg,no-probe,10,0.1,42,depth-1,0.1181,0.6783,0.0,-0.2048
mag_weighted,no-probe,10,0.1,42,depth-1,0.1181,0.6697,-0.0085,-0.2133
sign_majority,no-probe,10,0.1,42,deep,0.1181,0.5365,-0.1418,-0.3465
norm_normalized,no-probe,10,0.1,42,deep,0.1181,0.6858,0.0075,-0.1973
agreement_gated,no-probe,10,0.1,42,deep,0.1181,0.632,-0.0462,-0.251
second_moment,no-probe,10,0.1,42,deep,0.1181,0.6035,-0.0748,-0.2795
coord_trimmed_mean,no-probe,10,0.1,42,deep,0.1181,0.6127,-0.0655,-0.2703
consensus_proj,no-probe,10,0.1,42,deep,0.1181,0.6783,0.0,-0.2048
poly_gate_d2_a,no-probe,10,0.1,42,depth-2,0.1181,0.6028,-0.0755,-0.2803
poly_gate_d2_b,no-probe,10,0.1,42,depth-2,0.1181,0.7405,0.0622,-0.1425
sync_sgd,no-probe,10,0.1,42,deep(multi-round),0.1181,0.8885,0.2102,0.0055
centralized,no-probe,10,0.1,42,n/a(pooled),0.1181,0.883,0.2048,0.0
weight_avg,no-probe,10,0.1,123,depth-1,0.1016,0.5332,0.0,-0.3355
mag_weighted,no-probe,10,0.1,123,depth-1,0.1016,0.5663,0.033,-0.3025
sign_majority,no-probe,10,0.1,123,deep,0.1016,0.3977,-0.1355,-0.471
norm_normalized,no-probe,10,0.1,123,deep,0.1016,0.5002,-0.033,-0.3685
agreement_gated,no-probe,10,0.1,123,deep,0.1016,0.4773,-0.056,-0.3915
second_moment,no-probe,10,0.1,123,deep,0.1016,0.57,0.0368,-0.2987
coord_trimmed_mean,no-probe,10,0.1,123,deep,0.1016,0.4568,-0.0765,-0.412
consensus_proj,no-probe,10,0.1,123,deep,0.1016,0.5332,0.0,-0.3355
poly_gate_d2_a,no-probe,10,0.1,123,depth-2,0.1016,0.6062,0.073,-0.2625
poly_gate_d2_b,no-probe,10,0.1,123,depth-2,0.1016,0.6352,0.102,-0.2335
sync_sgd,no-probe,10,0.1,123,deep(multi-round),0.1016,0.887,0.3538,0.0183
centralized,no-probe,10,0.1,123,n/a(pooled),0.1016,0.8687,0.3355,0.0
weight_avg,no-probe,10,0.5,42,depth-1,0.1181,0.8537,0.0,-0.0028
mag_weighted,no-probe,10,0.5,42,depth-1,0.1181,0.8575,0.0038,0.001
sign_majority,no-probe,10,0.5,42,deep,0.1181,0.864,0.0103,0.0075
norm_normalized,no-probe,10,0.5,42,deep,0.1181,0.851,-0.0027,-0.0055
agreement_gated,no-probe,10,0.5,42,deep,0.1181,0.8198,-0.034,-0.0368
second_moment,no-probe,10,0.5,42,deep,0.1181,0.7355,-0.1183,-0.121
coord_trimmed_mean,no-probe,10,0.5,42,deep,0.1181,0.8677,0.014,0.0112
consensus_proj,no-probe,10,0.5,42,deep,0.1181,0.8537,0.0,-0.0028
poly_gate_d2_a,no-probe,10,0.5,42,depth-2,0.1181,0.6285,-0.2253,-0.228
poly_gate_d2_b,no-probe,10,0.5,42,depth-2,0.1181,0.8428,-0.011,-0.0138
sync_sgd,no-probe,10,0.5,42,deep(multi-round),0.1181,0.8845,0.0308,0.028
centralized,no-probe,10,0.5,42,n/a(pooled),0.1181,0.8565,0.0028,0.0
weight_avg,no-probe,10,0.5,123,depth-1,0.1016,0.8083,0.0,-0.0457
mag_weighted,no-probe,10,0.5,123,depth-1,0.1016,0.805,-0.0033,-0.049
sign_majority,no-probe,10,0.5,123,deep,0.1016,0.8363,0.028,-0.0177
norm_normalized,no-probe,10,0.5,123,deep,0.1016,0.8115,0.0033,-0.0425
agreement_gated,no-probe,10,0.5,123,deep,0.1016,0.766,-0.0423,-0.088
second_moment,no-probe,10,0.5,123,deep,0.1016,0.649,-0.1593,-0.205
coord_trimmed_mean,no-probe,10,0.5,123,deep,0.1016,0.8298,0.0215,-0.0242
consensus_proj,no-probe,10,0.5,123,deep,0.1016,0.8083,0.0,-0.0457
poly_gate_d2_a,no-probe,10,0.5,123,depth-2,0.1016,0.6515,-0.1568,-0.2025
poly_gate_d2_b,no-probe,10,0.5,123,depth-2,0.1016,0.8235,0.0152,-0.0305
sync_sgd,no-probe,10,0.5,123,deep(multi-round),0.1016,0.8865,0.0782,0.0325
centralized,no-probe,10,0.5,123,n/a(pooled),0.1016,0.854,0.0457,0.0
weight_avg,no-probe,10,1.0,42,depth-1,0.1181,0.8687,0.0,0.0217
mag_weighted,no-probe,10,1.0,42,depth-1,0.1181,0.87,0.0013,0.023
sign_majority,no-probe,10,1.0,42,deep,0.1181,0.8687,0.0,0.0217
norm_normalized,no-probe,10,1.0,42,deep,0.1181,0.867,-0.0017,0.02
agreement_gated,no-probe,10,1.0,42,deep,0.1181,0.8493,-0.0195,0.0023
second_moment,no-probe,10,1.0,42,deep,0.1181,0.7218,-0.147,-0.1252
coord_trimmed_mean,no-probe,10,1.0,42,deep,0.1181,0.8648,-0.004,0.0178
consensus_proj,no-probe,10,1.0,42,deep,0.1181,0.8687,0.0,0.0217
poly_gate_d2_a,no-probe,10,1.0,42,depth-2,0.1181,0.645,-0.2237,-0.202
poly_gate_d2_b,no-probe,10,1.0,42,depth-2,0.1181,0.8587,-0.01,0.0117
sync_sgd,no-probe,10,1.0,42,deep(multi-round),0.1181,0.8845,0.0158,0.0375
centralized,no-probe,10,1.0,42,n/a(pooled),0.1181,0.847,-0.0217,0.0
weight_avg,no-probe,10,1.0,123,depth-1,0.1016,0.8645,0.0,0.002
mag_weighted,no-probe,10,1.0,123,depth-1,0.1016,0.8658,0.0013,0.0033
sign_majority,no-probe,10,1.0,123,deep,0.1016,0.8795,0.015,0.017
norm_normalized,no-probe,10,1.0,123,deep,0.1016,0.8635,-0.001,0.001
agreement_gated,no-probe,10,1.0,123,deep,0.1016,0.8385,-0.026,-0.024
second_moment,no-probe,10,1.0,123,deep,0.1016,0.769,-0.0955,-0.0935
coord_trimmed_mean,no-probe,10,1.0,123,deep,0.1016,0.8798,0.0153,0.0173
consensus_proj,no-probe,10,1.0,123,deep,0.1016,0.8645,0.0,0.002
poly_gate_d2_a,no-probe,10,1.0,123,depth-2,0.1016,0.5975,-0.267,-0.265
poly_gate_d2_b,no-probe,10,1.0,123,depth-2,0.1016,0.8453,-0.0192,-0.0173
sync_sgd,no-probe,10,1.0,123,deep(multi-round),0.1016,0.8855,0.021,0.023
centralized,no-probe,10,1.0,123,n/a(pooled),0.1016,0.8625,-0.002,0.0
