combine,basin,N,alpha,seed,he_depth,theta0_acc,final_acc,vs_weight_avg,vs_centralized
mag_weighted,probe,5,0.5,42,depth-1,0.7769,0.8655,0.0017,-0.0133
sign_majority,probe,5,0.5,42,deep,0.7769,0.8633,-0.0005,-0.0155
norm_normalized,probe,5,0.5,42,deep,0.7769,0.864,0.0003,-0.0148
agreement_gated,probe,5,0.5,42,deep,0.7769,0.843,-0.0207,-0.0358
second_moment,probe,5,0.5,42,deep,0.7769,0.791,-0.0727,-0.0878
coord_trimmed_mean,probe,5,0.5,42,deep,0.7769,0.848,-0.0157,-0.0308
consensus_proj,probe,5,0.5,42,deep,0.7769,0.8637,0.0,-0.015
poly_gate_d2_a,probe,5,0.5,42,depth-2,0.7769,0.8633,-0.0005,-0.0155
poly_gate_d2_b,probe,5,0.5,42,depth-2,0.7769,0.8565,-0.0072,-0.0222
sync_sgd,probe,5,0.5,42,deep(multi-round),0.7769,0.889,0.0253,0.0102
centralized,probe,5,0.5,42,n/a(pooled),0.7769,0.8788,0.015,0.0
weight_avg,probe,5,0.5,123,depth-1,0.7846,0.8622,0.0,-0.0228
mag_weighted,probe,5,0.5,123,depth-1,0.7846,0.868,0.0058,-0.017
sign_majority,probe,5,0.5,123,deep,0.7846,0.8593,-0.003,-0.0257
norm_normalized,probe,5,0.5,123,deep,0.7846,0.853,-0.0092,-0.032
agreement_gated,probe,5,0.5,123,deep,0.7846,0.8375,-0.0247,-0.0475
second_moment,probe,5,0.5,123,deep,0.7846,0.8027,-0.0595,-0.0822
coord_trimmed_mean,probe,5,0.5,123,deep,0.7846,0.8397,-0.0225,-0.0452
consensus_proj,probe,5,0.5,123,deep,0.7846,0.8622,0.0,-0.0228
poly_gate_d2_a,probe,5,0.5,123,depth-2,0.7846,0.832,-0.0302,-0.053
poly_gate_d2_b,probe,5,0.5,123,depth-2,0.7846,0.8453,-0.017,-0.0397
sync_sgd,probe,5,0.5,123,deep(multi-round),0.7846,0.8825,0.0203,-0.0025
centralized,probe,5,0.5,123,n/a(pooled),0.7846,0.885,0.0228,0.0
weight_avg,probe,5,1.0,42,depth-1,0.7769,0.8633,0.0,-0.0015
mag_weighted,probe,5,1.0,42,depth-1,0.7769,0.86,-0.0033,-0.0048
sign_majority,probe,5,1.0,42,deep,0.7769,0.8685,0.0052,0.0037
norm_normalized,probe,5,1.0,42,deep,0.7769,0.8673,0.004,0.0025
agreement_gated,probe,5,1.0,42,deep,0.7769,0.845,-0.0182,-0.0197
second_moment,probe,5,1.0,42,deep,0.7769,0.829,-0.0343,-0.0358
coord_trimmed_mean,probe,5,1.0,42,deep,0.7769,0.8708,0.0075,0.006
consensus_proj,probe,5,1.0,42,deep,0.7769,0.8633,0.0,-0.0015
poly_gate_d2_a,probe,5,1.0,42,depth-2,0.7769,0.8658,0.0025,0.001
poly_gate_d2_b,probe,5,1.0,42,depth-2,0.7769,0.859,-0.0042,-0.0058
sync_sgd,probe,5,1.0,42,deep(multi-round),0.7769,0.8852,0.022,0.0205
centralized,probe,5,1.0,42,n/a(pooled),0.7769,0.8648,0.0015,0.0
weight_avg,probe,5,1.0,123,depth-1,0.7846,0.8845,0.0,0.0148
mag_weighted,probe,5,1.0,123,depth-1,0.7846,0.8842,-0.0003,0.0145
sign_majority,probe,5,1.0,123,deep,0.7846,0.8815,-0.003,0.0117
norm_normalized,probe,5,1.0,123,deep,0.7846,0.8838,-0.0008,0.014
agreement_gated,probe,5,1.0,123,deep,0.7846,0.877,-0.0075,0.0072
second_moment,probe,5,1.0,123,deep,0.7846,0.7947,-0.0898,-0.075
coord_trimmed_mean,probe,5,1.0,123,deep,0.7846,0.8838,-0.0008,0.014
consensus_proj,probe,5,1.0,123,deep,0.7846,0.8845,0.0,0.0148
poly_gate_d2_a,probe,5,1.0,123,depth-2,0.7846,0.8655,-0.019,-0.0043
poly_gate_d2_b,probe,5,1.0,123,depth-2,0.7846,0.8832,-0.0013,0.0135
sync_sgd,probe,5,1.0,123,deep(multi-round),0.7846,0.8907,0.0062,0.021
centralized,probe,5,1.0,123,n/a(pooled),0.7846,0.8698,-0.0148,0.0
weight_avg,probe,10,0.05,42,depth-1,0.7769,0.739,0.0,-0.132
mag_weighted,probe,10,0.05,42,depth-1,0.7769,0.7272,-0.0118,-0.1438
sign_majority,probe,10,0.05,42,deep,0.7769,0.6435,-0.0955,-0.2275
norm_normalized,probe,10,0.05,42,deep,0.7769,0.7218,-0.0173,-0.1492
agreement_gated,probe,10,0.05,42,deep,0.7769,0.7635,0.0245,-0.1075
second_moment,probe,10,0.05,42,deep,0.7769,0.7545,0.0155,-0.1165
coord_trimmed_mean,probe,10,0.05,42,deep,0.7769,0.7245,-0.0145,-0.1465
consensus_proj,probe,10,0.05,42,deep,0.7769,0.739,0.0,-0.132
poly_gate_d2_a,probe,10,0.05,42,depth-2,0.7769,0.7793,0.0403,-0.0917
poly_gate_d2_b,probe,10,0.05,42,depth-2,0.7769,0.7673,0.0282,-0.1037
sync_sgd,probe,10,0.05,42,deep(multi-round),0.7769,0.894,0.155,0.023
centralized,probe,10,0.05,42,n/a(pooled),0.7769,0.871,0.132,0.0
weight_avg,probe,10,0.05,123,depth-1,0.7846,0.7883,0.0,-0.0902
mag_weighted,probe,10,0.05,123,depth-1,0.7846,0.7803,-0.008,-0.0982
sign_majority,probe,10,0.05,123,deep,0.7846,0.7613,-0.027,-0.1172
norm_normalized,probe,10,0.05,123,deep,0.7846,0.7628,-0.0255,-0.1157
agreement_gated,probe,10,0.05,123,deep,0.7846,0.762,-0.0263,-0.1165
second_moment,probe,10,0.05,123,deep,0.7846,0.7653,-0.023,-0.1132
coord_trimmed_mean,probe,10,0.05,123,deep,0.7846,0.749,-0.0393,-0.1295
consensus_proj,probe,10,0.05,123,deep,0.7846,0.7883,0.0,-0.0902
poly_gate_d2_a,probe,10,0.05,123,depth-2,0.7846,0.784,-0.0043,-0.0945
poly_gate_d2_b,probe,10,0.05,123,depth-2,0.7846,0.7853,-0.003,-0.0932
sync_sgd,probe,10,0.05,123,deep(multi-round),0.7846,0.8917,0.1035,0.0132
centralized,probe,10,0.05,123,n/a(pooled),0.7846,0.8785,0.0902,0.0
weight_avg,probe,10,0.1,42,depth-1,0.7769,0.7692,0.0,-0.1188
mag_weighted,probe,10,0.1,42,depth-1,0.7769,0.7525,-0.0167,-0.1355
sign_majority,probe,10,0.1,42,deep,0.7769,0.7458,-0.0235,-0.1423
norm_normalized,probe,10,0.1,42,deep,0.7769,0.7785,0.0093,-0.1095
agreement_gated,probe,10,0.1,42,deep,0.7769,0.7703,0.001,-0.1177
second_moment,probe,10,0.1,42,deep,0.7769,0.7713,0.002,-0.1168
coord_trimmed_mean,probe,10,0.1,42,deep,0.7769,0.7577,-0.0115,-0.1303
consensus_proj,probe,10,0.1,42,deep,0.7769,0.7692,0.0,-0.1188
poly_gate_d2_a,probe,10,0.1,42,depth-2,0.7769,0.7617,-0.0075,-0.1263
poly_gate_d2_b,probe,10,0.1,42,depth-2,0.7769,0.7632,-0.006,-0.1248
sync_sgd,probe,10,0.1,42,deep(multi-round),0.7769,0.895,0.1258,0.007
centralized,probe,10,0.1,42,n/a(pooled),0.7769,0.888,0.1188,0.0
weight_avg,probe,10,0.1,123,depth-1,0.7846,0.7343,0.0,-0.1392
mag_weighted,probe,10,0.1,123,depth-1,0.7846,0.7023,-0.032,-0.1712
sign_majority,probe,10,0.1,123,deep,0.7846,0.6802,-0.054,-0.1933
norm_normalized,probe,10,0.1,123,deep,0.7846,0.7393,0.005,-0.1342
agreement_gated,probe,10,0.1,123,deep,0.7846,0.7642,0.03,-0.1093
second_moment,probe,10,0.1,123,deep,0.7846,0.7697,0.0355,-0.1037
coord_trimmed_mean,probe,10,0.1,123,deep,0.7846,0.717,-0.0173,-0.1565
consensus_proj,probe,10,0.1,123,deep,0.7846,0.7343,0.0,-0.1392
poly_gate_d2_a,probe,10,0.1,123,depth-2,0.7846,0.7747,0.0405,-0.0987
